scenario,detected_order_d,candidate_lift_rank,rank_divisible_by_order,determinant_obstruction_allows,classification,status,selected_method,recommended_min_lift_rank,lift_residual,centrality_score,phase_residual,c2m3_residual,cycle_score,notes
E1_order3_rank2_obstructed,3.0,2,False,False,finite_index_projective_obstructed,finite_index_projective_obstructed,none,3.0,,2.583903469664147e-16,3.040470972244059e-16,1.9668822430554641e-16,1.7320508075688774,"expected order 3 rejected at rank 2 Detected a finite scalar projective phase, but candidate rank is rejected by the determinant threshold."
E2_order3_rank3_lift,3.0,3,True,True,finite_index_projective_lift,finite_index_projective_lift,finite_index_projective_lift,3.0,3.040470972244059e-16,2.583903469664147e-16,3.040470972244059e-16,1.9668822430554641e-16,1.7320508075688774,expected order 3 accepted at rank 3 Detected a finite scalar projective phase; candidate rank passes the determinant threshold. Built/referenced a clock-shift direct-sum finite-index projective lift.
E3_nonprimitive_q6_a2_rank3_lift,3.0,3,True,True,finite_index_projective_lift,finite_index_projective_lift,finite_index_projective_lift,3.0,3.040470972244059e-16,2.583903469664147e-16,3.040470972244059e-16,1.9668822430554641e-16,1.7320508075688774,"q=6,a=2 has detected order 3 Detected a finite scalar projective phase; candidate rank passes the determinant threshold. Built/referenced a clock-shift direct-sum finite-index projective lift."
E4_q6_a3_order2_rank2_lift,2.0,2,True,True,finite_index_projective_lift,finite_index_projective_lift,finite_index_projective_lift,2.0,1.7319121124709866e-16,1.2246467991473532e-16,1.7319121124709866e-16,0.0,2.0,"q=6,a=3 has detected order 2 Detected a finite scalar projective phase; candidate rank passes the determinant threshold. Built/referenced a clock-shift direct-sum finite-index projective lift."
E5_random_noncentral_rejected,,3,,,random_noncentral,rejected_noncentral,best_validation_baseline,,,0.2645751311064591,,0.05737645125683217,0.2645751311064591,random noncentral residual should not be finite-index 
E6_c2m3_edge_noise_priority,,3,,,edge_outlier_or_noise,untwisted_c2m3,c2m3_cycle_consistent,,,0.5590169943749475,,0.041666666666666664,0.2886751345948129,C2M3-fixable edge noise keeps C2M3 priority 
