dataset,fold,seed,variant,run_status,model,epochs,d,layers,hidden_channels,edge_weights,cycle_lambda,cycle_regularizer_applied,cycle_regularizer_status,map_interpretation,best_epoch,best_val_acc,best_test_acc,final_train_loss,final_val_loss,final_test_loss,final_train_acc,final_val_acc,final_test_acc,nsd_root,nsd_head,python,platform,torch_version,triangle_count,cycle_score_mean,cycle_score_max,cycle_score_min,holonomy_det_mean,cache_requires_grad
texas,0,43,bundle_sheaf_connection_cache,success,BundleSheaf,3,2,1,8,False,0.0,False,not_requested,unweighted_orthogonal_connection_cache,2,0.32203391194343567,0.5135135054588318,1.4919873476028442,1.5335943698883057,1.499578595161438,0.5287356376647949,0.32203391194343567,0.5135135054588318,/private/tmp/neural-sheaf-diffusion,11e21b561d884713ab1a18a521a7dc2fb26b9361,3.9.6,macOS-26.0.1-arm64-arm-64bit,1.11.0,67,3.4380176125091305e-07,1.0142645750333815e-06,8.88178404499599e-16,0.9999999279406533,False
texas,0,43,bundle_sheaf_weighted_cache,success,BundleSheaf,3,2,1,8,True,0.0,False,not_requested,weighted_restriction_cache_not_pure_connection,2,0.5254237055778503,0.6486486196517944,1.4673151969909668,1.5340043306350708,1.4447578191757202,0.5287356376647949,0.5254237055778503,0.6486486196517944,/private/tmp/neural-sheaf-diffusion,11e21b561d884713ab1a18a521a7dc2fb26b9361,3.9.6,macOS-26.0.1-arm64-arm-64bit,1.11.0,67,0.9997302971541989,0.9997338676842311,0.9997282200065306,7.273674650978545e-08,False
texas,0,43,bundle_sheaf_connection_cache_cycle_regularizer_attempt,success,BundleSheaf,3,2,1,8,False,1.0,False,not_applied_official_cache_is_detached,unweighted_orthogonal_connection_cache,2,0.32203391194343567,0.5135135054588318,1.4919873476028442,1.5335943698883057,1.499578595161438,0.5287356376647949,0.32203391194343567,0.5135135054588318,/private/tmp/neural-sheaf-diffusion,11e21b561d884713ab1a18a521a7dc2fb26b9361,3.9.6,macOS-26.0.1-arm64-arm-64bit,1.11.0,67,3.4380176125091305e-07,1.0142645750333815e-06,8.88178404499599e-16,0.9999999279406533,False
