mode,method,n_rows,n_seeds,mean_accuracy,mean_loss,mean_accuracy_delta_vs_greedy_soup,mean_soup_ingredient_count,symmetry_status,is_single_model,capacity_matched_to_weight_average,selector_no_test_leakage
independent_seed_models,c2m3_greedy_soup,120,20,0.8568683333333332,0.6505630082289376,-0.00037666666666666496,1.05,exact_relu_permutation_soup,True,True,True
independent_seed_models,c2m3_permutation,120,20,0.8118941666666667,0.8652620148742199,-0.04535083333333333,,exact_relu_permutation_symmetry,True,True,True
independent_seed_models,ensemble_upper_bound,120,20,0.865035,0.627811302953561,0.007790000000000001,,extra_capacity_ensemble,False,False,True
independent_seed_models,global_monomial_greedy_soup,120,20,0.85685,0.6545283058011531,-0.0003949999999999972,1.1083333333333334,global_exact_relu_positive_scale_soup,True,True,True
independent_seed_models,global_monomial_scale,120,20,0.82689,0.8468439000725746,-0.030354999999999997,,validation_selected_global_exact_relu_positive_scale,True,True,True
independent_seed_models,greedy_aware_selector,120,20,0.855735,0.6705593644881247,-0.0015099999999999966,2.5045045045045047,validation_selected_greedy_fallback_single_model_soup,True,True,True
independent_seed_models,greedy_soup,120,20,0.857245,0.6444098158637682,0.0,1.0,ordinary_single_model_soup,True,True,True
independent_seed_models,improved_validated_selector,120,20,0.855735,0.6705593644881247,-0.0015099999999999966,,validation_selected_single_model_or_soup,True,True,True
independent_seed_models,lower_confidence_greedy_aware_selector,120,20,0.857245,0.6444098158637682,0.0,1.0,validation_lcb_selected_greedy_fallback_single_model_soup,True,True,True
independent_seed_models,monomial_scale,120,20,0.8197425,0.853114435458978,-0.0375025,,exact_relu_positive_scale_symmetry,True,True,True
independent_seed_models,monomial_scaled_greedy_soup,120,20,0.85698,0.6499566524136067,-0.00026499999999999766,1.0666666666666667,exact_relu_positive_scale_soup,True,True,True
independent_seed_models,optimized_monomial_greedy_soup,120,20,0.8570308333333334,0.6449880528561275,-0.00021416666666666714,1.025,optimized_exact_relu_positive_scale_soup,True,True,True
independent_seed_models,optimized_monomial_scale,120,20,0.8206275000000001,0.6856982862166564,-0.0366175,,validation_optimized_exact_relu_positive_scale,True,True,True
independent_seed_models,shrinkage_monomial_greedy_soup,120,20,0.8569641666666665,0.6521501940488814,-0.000280833333333332,1.0916666666666666,exact_relu_positive_scale_soup,True,True,True
independent_seed_models,shrinkage_monomial_scale,120,20,0.8267625000000002,0.8446459988605977,-0.03048249999999999,,validation_selected_exact_relu_positive_scale,True,True,True
independent_seed_models,single_best_model,120,20,0.8588275000000001,0.6547945127150085,0.0015825000000000006,,validation_selected_original_single_model_or_descriptive_oracle,True,True,False
independent_seed_models,union_candidate_soup,120,20,0.8565875,0.6623462340430419,-0.000657499999999997,2.4916666666666667,validation_selected_union_candidate_single_model_soup,True,True,True
independent_seed_models,validated_ladder_selector,120,20,0.8219658333333333,0.8527477022071679,-0.03527916666666666,,validation_selected_exact_relu_single_model,True,True,True
independent_seed_models,weight_average,120,20,0.6662675,1.504173327527841,-0.19097749999999997,,ordinary_unaligned_single_model,True,True,True
low_lr_finetune_soup,c2m3_greedy_soup,40,20,0.8783974999999999,0.500733926179409,0.0,1.5,exact_relu_permutation_soup,True,True,True
low_lr_finetune_soup,ensemble_upper_bound,40,20,0.8786149999999999,0.4999812139129639,0.00021749999999999547,,extra_capacity_ensemble,False,False,True
low_lr_finetune_soup,greedy_aware_selector,40,20,0.8785699999999999,0.5005870406544208,0.0001724999999999921,3.375,validation_selected_greedy_fallback_single_model_soup,True,True,True
low_lr_finetune_soup,greedy_soup,40,20,0.8783974999999999,0.500733926179409,0.0,1.5,ordinary_single_model_soup,True,True,True
low_lr_finetune_soup,lower_confidence_greedy_aware_selector,40,20,0.8783975000000002,0.500733926179409,0.0,1.5,validation_lcb_selected_greedy_fallback_single_model_soup,True,True,True
low_lr_finetune_soup,monomial_scaled_greedy_soup,40,20,0.878395,0.5007221727228165,-2.4999999999997245e-06,1.5,exact_relu_positive_scale_soup,True,True,True
low_lr_finetune_soup,single_best_model,40,20,0.8781749999999999,0.501201831637621,-0.0002224999999999977,,validation_selected_original_single_model_or_descriptive_oracle,True,True,True
low_lr_finetune_soup,union_candidate_soup,40,20,0.878455,0.500681112229824,5.7499999999990894e-05,3.7,validation_selected_union_candidate_single_model_soup,True,True,True
