source,diagnostic_level,partition_method,block_size,n_rows,mean_cycle_score,mean_centrality_score,fraction_central_projective_candidates,mean_pairwise_feature_alignment_residual,mean_global_feature_alignment_residual,mean_global_sync_residual,fraction_accepted_global_sync,mean_improvement_permutation_to_pairwise_block,mean_improvement_permutation_to_global_block,mean_improvement_pairwise_block_to_global_block,mean_c2m3_accuracy,mean_monomial_accuracy,mean_greedy_soup_accuracy,mean_ensemble_accuracy
real_mnist,global_block_synchronization,activation_correlation,2,100,5.362810961455615e-16,5.303733859977845e-16,0.0,0.7526637599453753,0.7623084285838925,0.12845227199982062,0.71,0.3171163515037774,0.9465817875832166,0.6294654360794394,0.65101,0.65851,0.7301200000000003,0.76546
real_mnist,global_block_synchronization,activation_correlation,4,100,1.2617236550143315e-15,1.2221234199805759e-15,0.0,0.688168057207975,0.7020436656006988,0.24347132799246132,0.05,0.20969078979000497,0.946581787583216,0.7368909977932111,0.65101,0.65851,0.7301200000000003,0.76546
real_mnist,global_block_synchronization,activation_correlation,8,100,1.75293384454045e-15,1.711860867681581e-15,0.0,0.5742676525061197,0.5831907887263879,0.25071991804984267,0.03,0.2783092066214005,0.9465817875832152,0.668272580961815,0.65101,0.65851,0.7301200000000003,0.76546
real_mnist,global_block_synchronization,contiguous,2,100,4.865368782702269e-16,4.721187114183443e-16,0.0,0.7525948977321704,0.7612338791036494,0.1015563188918613,0.81,0.431064866337787,0.9465817875832166,0.5155169212454299,0.65101,0.65851,0.7301200000000003,0.76546
real_mnist,global_block_synchronization,contiguous,4,100,1.2345995879086174e-15,1.205147247842696e-15,0.0,0.6852221720805838,0.698305542613988,0.20482608538174168,0.19,0.29289132533825485,0.9465817875832159,0.6536904622449613,0.65101,0.65851,0.7301200000000003,0.76546
real_mnist,global_block_synchronization,contiguous,8,100,1.856736558873939e-15,1.7914496213906798e-15,0.0,0.5669850431246275,0.5745980262866206,0.23070979332025005,0.06,0.31321867942804393,0.9465817875832154,0.6333631081551718,0.65101,0.65851,0.7301200000000003,0.76546
real_mnist,global_block_synchronization,output_weight_similarity,2,100,5.17743966337319e-16,5.110177417592651e-16,0.0,0.7565125372171306,0.7649287448902542,0.10906587044802546,0.74,0.3987992765675179,0.9465817875832166,0.5477825110156991,0.65101,0.65851,0.7301200000000003,0.76546
real_mnist,global_block_synchronization,output_weight_similarity,4,100,1.2926839294882143e-15,1.251011062883018e-15,0.0,0.6908317085801704,0.7048853006516541,0.21811167575286533,0.08,0.26376522476335434,0.9465817875832159,0.6828165628198619,0.65101,0.65851,0.7301200000000003,0.76546
real_mnist,global_block_synchronization,output_weight_similarity,8,100,1.8419381909797657e-15,1.8032390163393386e-15,0.0,0.5702857342095261,0.5776066871793365,0.24387292686628187,0.07,0.3003428554050033,0.9465817875832152,0.6462389321782124,0.65101,0.65851,0.7301200000000003,0.76546
real_mnist,low_rank_GL,none,0,100,0.9314201215323754,0.6718453040392212,0.0,,,,0.0,,,,0.65101,0.65851,0.7301200000000003,0.76546
