setting_id,dataset,architecture,n_models,width,seed,epochs,max_train_samples,max_test_samples,val_fraction,matching,checkpoint_dir,sync_reference,sync_disagreement,individual_accuracy_mean,individual_accuracy_min,individual_accuracy_max,individual_accuracy_variance,individual_loss_mean,method,display_name,paper_name,official_repo,license,implementation_kind,deviations_from_official,output_type,uses_validation_data,capacity_matched_to_weight_average,extra_inference_cost,inference_time_multiplier,param_count_multiplier,is_single_model,uses_exact_relu_symmetry,is_soup,is_ensemble_or_extra_capacity,fair_for_current_claims,fairness_note,val_loss,val_accuracy,selection_val_accuracy,test_loss,test_accuracy,loss,accuracy,single_best_accuracy,merge_degradation,checkpoint,selector_no_test_leakage,evaluation_status,accuracy_delta_vs_internal_c2m3,loss_delta_vs_internal_c2m3,validation_accuracy_delta_vs_internal_c2m3,accuracy_delta_vs_greedy_soup,loss_delta_vs_greedy_soup,validation_accuracy_delta_vs_greedy_soup,accuracy_delta_vs_weight_average,loss_delta_vs_weight_average,validation_accuracy_delta_vs_weight_average,scale_source,mean_abs_log_scale,max_abs_log_scale,log_scale_variance,scale_synchronization_disagreement,soup_indices,soup_selected_labels,soup_ingredient_count,selector_chose,selector_val_margin,selector_pool,reused_internal_improved_selector_row,selector_metric_source
mnist_mlp_N3_W32_S1800,mnist,mlp_relu,3,32,1800,3,5000,0,0.2,activation,/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/external_baselines/mnist_mlp_N3_W32_S1800,1,0.18055555555555555,0.8604333333333334,0.8576,0.8651,1.1055555555555403e-05,0.6067625235716502,weight_average,Weight average / uniform soup,Ordinary uniform parameter averaging control,,project,native internal control,Uniform parameter average of the same original checkpoints; also the uniform-soup analogue.,single_model,False,True,False,1.0,1.0,True,False,False,False,True,Fair as an unaligned single-model control.,1.5002916564941406,0.721,,1.468856600189209,0.7541,1.468856600189209,0.7541,0.8651,0.11099999999999999,/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/external_baselines/mnist_mlp_N3_W32_S1800/weight_average.pt,True,evaluated,-0.0887,0.6814353950500488,-0.10499999999999998,-0.11099999999999999,0.8619404994964599,-0.126,0.0,0.0,0.0,,,,,,,,,,,,False,
mnist_mlp_N3_W32_S1800,mnist,mlp_relu,3,32,1800,3,5000,0,0.2,activation,/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/external_baselines/mnist_mlp_N3_W32_S1800,1,0.18055555555555555,0.8604333333333334,0.8576,0.8651,1.1055555555555403e-05,0.6067625235716502,git_rebasin_pairwise,Faithful Git-ReBasin-style pairwise alignment,Git Re-Basin: Merging Models modulo Permutation Symmetries,https://github.com/samuela/git-re-basin,MIT,faithful in-repo reimplementation,"Activation-correlation Hungarian matching aligns each model to model 0, then weights are averaged; official JAX experiment stack is not run.",single_model,False,True,False,1.0,1.0,True,True,False,False,True,"Fair only as a Git-ReBasin-style MNIST MLP baseline, not as an official-code claim.",0.8331852416992187,0.802,,0.7977663274765014,0.8275,0.7977663274765014,0.8275,0.8651,0.03759999999999997,/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/external_baselines/mnist_mlp_N3_W32_S1800/git_rebasin_pairwise.pt,True,evaluated,-0.01529999999999998,0.010345122337341306,-0.02399999999999991,-0.03759999999999997,0.1908502267837524,-0.04499999999999993,0.07340000000000002,-0.6710902727127075,0.08100000000000007,,,,,,,,,,,,False,
mnist_mlp_N3_W32_S1800,mnist,mlp_relu,3,32,1800,3,5000,0,0.2,activation,/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/external_baselines/mnist_mlp_N3_W32_S1800,1,0.18055555555555555,0.8604333333333334,0.8576,0.8651,1.1055555555555403e-05,0.6067625235716502,c2m3_permutation,Internal C2M3-style cycle-consistent alignment,Cycle Consistent Model Merging,https://github.com/crisostomi/cycle-consistent-model-merging,MIT,faithful internal C2M3-style reimplementation,Activation-based pairwise permutations are synchronized to a global reference before averaging; official Hydra/uv/wandb pipeline is not run.,single_model,False,True,False,1.0,1.0,True,True,False,False,True,"Fair as the internal C2M3-style reference for current claims, not as official C2M3.",0.8200968475341797,0.826,,0.7874212051391601,0.8428,0.7874212051391601,0.8428,0.8651,0.022299999999999986,/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/external_baselines/mnist_mlp_N3_W32_S1800/c2m3_permutation.pt,True,evaluated,0.0,0.0,0.0,-0.022299999999999986,0.1805051044464111,-0.02100000000000002,0.0887,-0.6814353950500488,0.10499999999999998,,,,,,,,,,,,False,
mnist_mlp_N3_W32_S1800,mnist,mlp_relu,3,32,1800,3,5000,0,0.2,activation,/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/external_baselines/mnist_mlp_N3_W32_S1800,1,0.18055555555555555,0.8604333333333334,0.8576,0.8651,1.1055555555555403e-05,0.6067625235716502,monomial_scale,Raw monomial scaling,TwistedMerge exact positive ReLU gauge,,project,native internal method,"Positive ReLU hidden-unit scalings are estimated from training activations after permutation synchronization, then averaged.",single_model,False,True,False,1.0,1.0,True,True,False,False,True,Fair as an internal exact-symmetry ablation.,0.7937978286743164,0.831,,0.7666375974655152,0.847,0.7666375974655152,0.847,0.8651,0.018100000000000005,/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/external_baselines/mnist_mlp_N3_W32_S1800/monomial_scale.pt,True,evaluated,0.0041999999999999815,-0.020783607673644955,0.0050000000000000044,-0.018100000000000005,0.15972149677276615,-0.016000000000000014,0.09289999999999998,-0.7022190027236938,0.10999999999999999,reference_raw,0.17838341574753405,1.3549304866087564,0.07534360395530211,0.18055555555555555,,,,,,,False,
mnist_mlp_N3_W32_S1800,mnist,mlp_relu,3,32,1800,3,5000,0,0.2,activation,/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/external_baselines/mnist_mlp_N3_W32_S1800,1,0.18055555555555555,0.8604333333333334,0.8576,0.8651,1.1055555555555403e-05,0.6067625235716502,greedy_soup,Faithful Model Soups greedy soup,Model soups: averaging weights of multiple fine-tuned models improves accuracy without increasing inference time,https://github.com/mlfoundations/model-soups,MIT,faithful in-repo reimplementation,Greedy soup over the same MNIST MLP checkpoints using validation accuracy/loss; official downloaded soup models are not used.,soup_single_model,True,True,False,1.0,1.0,True,False,True,False,True,"Fair as a faithful greedy soup on this MNIST MLP benchmark, not as a broad official Model Soups result.",0.644999641418457,0.847,0.847,0.606916100692749,0.8651,0.606916100692749,0.8651,0.8651,0.0,/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/external_baselines/mnist_mlp_N3_W32_S1800/greedy_soup.pt,True,evaluated,0.022299999999999986,-0.1805051044464111,0.02100000000000002,0.0,0.0,0.0,0.11099999999999999,-0.8619404994964599,0.126,,,,,,[0],"[""original:0""]",1.0,,,,False,
mnist_mlp_N3_W32_S1800,mnist,mlp_relu,3,32,1800,3,5000,0,0.2,activation,/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/external_baselines/mnist_mlp_N3_W32_S1800,1,0.18055555555555555,0.8604333333333334,0.8576,0.8651,1.1055555555555403e-05,0.6067625235716502,monomial_scaled_greedy_soup,Monomial-scaled greedy soup,TwistedMerge exact positive ReLU gauge plus Model Soups greedy selection,https://github.com/mlfoundations/model-soups,MIT for Model Soups reference; project code for scaling,native internal method plus faithful greedy soup rule,Greedy soup over positive-scale-aligned candidates; official Model Soups code is not imported.,soup_single_model,True,True,False,1.0,1.0,True,True,True,False,True,Fair as an internal monomial+soup ablation.,0.6449996490478516,0.847,0.847,0.6069160997867584,0.8651,0.6069160997867584,0.8651,0.8651,0.0,/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/external_baselines/mnist_mlp_N3_W32_S1800/monomial_scaled_greedy_soup.pt,True,evaluated,0.022299999999999986,-0.18050510535240172,0.02100000000000002,0.0,-9.059906158626063e-10,0.0,0.11099999999999999,-0.8619405004024505,0.126,,,,,,[0],"[""monomial:0""]",1.0,,,,False,
mnist_mlp_N3_W32_S1800,mnist,mlp_relu,3,32,1800,3,5000,0,0.2,activation,/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/external_baselines/mnist_mlp_N3_W32_S1800,1,0.18055555555555555,0.8604333333333334,0.8576,0.8651,1.1055555555555403e-05,0.6067625235716502,validated_ladder_selector,Validated ladder selector,TwistedMerge validation-only ladder selector,,project,native internal method,Selects between C2M3-style alignment and raw monomial scaling by validation accuracy/loss only.,validation_selected_single_model,True,True,False,1.0,1.0,True,True,False,False,True,Fair as the earlier internal selector baseline.,0.7937978286743164,0.831,0.831,0.7666375974655152,0.847,0.7666375974655152,0.847,0.8651,0.018100000000000005,/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/external_baselines/mnist_mlp_N3_W32_S1800/validated_ladder_selector.pt,True,evaluated,0.0041999999999999815,-0.020783607673644955,0.0050000000000000044,-0.018100000000000005,0.15972149677276615,-0.016000000000000014,0.09289999999999998,-0.7022190027236938,0.10999999999999999,,,,,,,,,monomial_scale,0.0050000000000000044,"[""c2m3_permutation"", ""monomial_scale""]",False,
mnist_mlp_N3_W32_S1800,mnist,mlp_relu,3,32,1800,3,5000,0,0.2,activation,/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/external_baselines/mnist_mlp_N3_W32_S1800,1,0.18055555555555555,0.8604333333333334,0.8576,0.8651,1.1055555555555403e-05,0.6067625235716502,improved_validated_selector,Improved validated ladder selector,TwistedMerge improved validation-only selector,,project,native internal method,"Uses the current internal improved-selector definition from the improved validated ladder benchmark when available; that selector chooses among C2M3, monomial, shrinkage/global/optimized monomial, greedy-soup variants, and union candidate soup by validation metrics only.",validation_selected_single_model_or_soup,True,True,False,1.0,1.0,True,True,True,False,True,Fair for the limited internal MNIST MLP selector-vs-baseline claim.,0.644999626159668,0.847,0.847,0.606916103219986,0.8651,0.606916103219986,0.8651,0.8651,0.0,,True,evaluated,0.022299999999999986,-0.18050510191917413,0.02100000000000002,0.0,2.527236975247149e-09,0.0,0.11099999999999999,-0.8619404969692229,0.126,,,,,,,,,union_candidate_soup,0.0,"[""c2m3_permutation"", ""monomial_scale"", ""shrinkage_monomial_scale"", ""global_monomial_scale"", ""optimized_monomial_scale"", ""greedy_soup"", ""c2m3_greedy_soup"", ""monomial_scaled_greedy_soup"", ""shrinkage_monomial_greedy_soup"", ""global_monomial_greedy_soup"", ""optimized_monomial_greedy_soup"", ""union_candidate_soup""]",True,/Users/tinggong/Documents/GitHub/TwistedMerge/reports/csv/improved_validated_ladder_merge_benchmark.csv
mnist_mlp_N3_W64_S1800,mnist,mlp_relu,3,64,1800,3,5000,0,0.2,activation,/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/external_baselines/mnist_mlp_N3_W64_S1800,1,0.1875,0.8791666666666665,0.8779,0.8813,2.3022222222221887e-06,0.4819823414961497,weight_average,Weight average / uniform soup,Ordinary uniform parameter averaging control,,project,native internal control,Uniform parameter average of the same original checkpoints; also the uniform-soup analogue.,single_model,False,True,False,1.0,1.0,True,False,False,False,True,Fair as an unaligned single-model control.,1.254922607421875,0.795,,1.234780577659607,0.8103,1.234780577659607,0.8103,0.8813,0.07099999999999995,/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/external_baselines/mnist_mlp_N3_W64_S1800/weight_average.pt,True,evaluated,-0.054099999999999926,0.6173904212951661,-0.05599999999999994,-0.07099999999999995,0.7599284219741822,-0.06399999999999995,0.0,0.0,0.0,,,,,,,,,,,,False,
mnist_mlp_N3_W64_S1800,mnist,mlp_relu,3,64,1800,3,5000,0,0.2,activation,/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/external_baselines/mnist_mlp_N3_W64_S1800,1,0.1875,0.8791666666666665,0.8779,0.8813,2.3022222222221887e-06,0.4819823414961497,git_rebasin_pairwise,Faithful Git-ReBasin-style pairwise alignment,Git Re-Basin: Merging Models modulo Permutation Symmetries,https://github.com/samuela/git-re-basin,MIT,faithful in-repo reimplementation,"Activation-correlation Hungarian matching aligns each model to model 0, then weights are averaged; official JAX experiment stack is not run.",single_model,False,True,False,1.0,1.0,True,True,False,False,True,"Fair only as a Git-ReBasin-style MNIST MLP baseline, not as an official-code claim.",0.655158332824707,0.846,,0.6120620754241943,0.8686,0.6120620754241943,0.8686,0.8813,0.012699999999999934,/Users/tinggong/Documents/GitHub/TwistedMerge/reports/checkpoints/external_baselines/mnist_mlp_N3_W64_S1800/git_rebasin_pairwise.pt,True,evaluated,0.0042000000000000925,-0.005328080940246616,-0.0050000000000000044,-0.012699999999999934,0.1372099197387695,-0.013000000000000012,0.05830000000000002,-0.6227185022354127,0.050999999999999934,,,,,,,,,,,,False,
