dataset,run_id,prime,candidate_id,candidate_role,peel_mode,quotient_residual_before,quotient_residual_after,quotient_residual_reduction,permutation_cycle_residual_before,permutation_cycle_residual_after,permutation_cycle_residual_reduction,representative_displacement_mean,representative_displacement_max,inverse_consistency_violation,alignment_cost_proxy,objective_value,implemented_corrected_merge,validation_accuracy,test_accuracy,baseline_validation_accuracy,baseline_test_accuracy,validation_delta_vs_baseline,test_delta_vs_baseline,wrong_prime_control_validation_accuracy,shuffled_control_validation_accuracy,random_control_validation_accuracy,no_quotient_control_validation_accuracy,capacity_multiplier,inference_multiplier,uses_test_for_selection,selected_by_validation,claim_status,na_reason,edge_cochain_solve_status,representative_selection_status
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,5,p5_candidate_2,best_quotient_residual,loss_aware_peel_p_only,0.5,0.0,0.5,0.8046875,0.84765625,-0.04296875,0.22916666666666666,0.6875,0.0,0.0,5.011458333333334,True,0.904,0.8895,0.899,0.8805,0.0050000000000000044,0.009000000000000008,,0.897,0.904,0.899,1.0,1.0,False,False,quotient_peel_not_permutation_safe,quotient_peel_not_permutation_safe,exact_quotient_cochain_solve_sign_1,loss_aware_representative_selection_available
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,5,p5_candidate_3,best_permutation_cycle,loss_aware_peel_p_only,0.5,0.0,0.5,0.8046875,0.43359375,0.37109375,0.28125,0.84375,0.0,0.0,4.85,True,0.904,0.8895,0.899,0.8805,0.0050000000000000044,0.009000000000000008,,0.897,0.904,0.899,1.0,1.0,False,False,not_selected_missing_wrong_prime_control,,exact_quotient_cochain_solve_sign_1,loss_aware_representative_selection_available
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,5,p5_candidate_4,combined_objective,loss_aware_peel_p_only,0.5,0.0,0.5,0.8046875,0.43359375,0.37109375,0.28125,0.84375,0.0,0.0,3.875,True,0.904,0.8895,0.899,0.8805,0.0050000000000000044,0.009000000000000008,,0.897,0.904,0.899,1.0,1.0,False,False,not_selected_missing_wrong_prime_control,,exact_quotient_cochain_solve_sign_1,loss_aware_representative_selection_available
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,7,p7_candidate_0,no_correction_baseline,loss_aware_peel_p_only,0.25,0.25,0.0,0.8046875,0.8046875,0.0,0.0,0.0,0.0,0.0,0.25,True,0.899,0.8805,0.899,0.8805,0.0,0.0,0.899,0.899,0.899,0.899,1.0,1.0,False,False,metric_produced_but_not_claimable,metric_produced_but_not_claimable,quotient_cochain_inconsistent_sign_1,no_correction_baseline
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,7,p7_candidate_1,minimal_displacement,loss_aware_peel_p_only,0.25,0.25,0.0,0.8046875,0.8046875,0.0,0.0,0.0,0.0,0.0,0.0,True,0.899,0.8805,0.899,0.8805,0.0,0.0,0.899,0.899,0.899,0.899,1.0,1.0,False,False,metric_produced_but_not_claimable,metric_produced_but_not_claimable,quotient_cochain_inconsistent_sign_1,loss_aware_representative_selection_available
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,7,p7_candidate_2,best_quotient_residual,loss_aware_peel_p_only,0.25,0.25,0.0,0.8046875,0.8046875,0.0,0.0,0.0,0.0,0.0,0.0,True,0.899,0.8805,0.899,0.8805,0.0,0.0,0.899,0.899,0.899,0.899,1.0,1.0,False,False,metric_produced_but_not_claimable,metric_produced_but_not_claimable,quotient_cochain_inconsistent_sign_1,loss_aware_representative_selection_available
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,7,p7_candidate_3,best_permutation_cycle,loss_aware_peel_p_only,0.25,0.25,0.0,0.8046875,0.80078125,0.00390625,0.08333333333333333,0.5,0.0,0.0,8.011979166666666,True,0.904,0.8895,0.899,0.8805,0.0050000000000000044,0.009000000000000008,0.899,0.899,0.899,0.899,1.0,1.0,False,False,metric_produced_but_not_claimable,metric_produced_but_not_claimable,quotient_cochain_inconsistent_sign_1,loss_aware_representative_selection_available
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,7,p7_candidate_4,combined_objective,loss_aware_peel_p_only,0.25,0.25,0.0,0.8046875,0.8046875,0.0,0.0,0.0,0.0,0.0,3.21875,True,0.899,0.8805,0.899,0.8805,0.0,0.0,0.899,0.899,0.899,0.899,1.0,1.0,False,False,metric_produced_but_not_claimable,metric_produced_but_not_claimable,quotient_cochain_inconsistent_sign_1,loss_aware_representative_selection_available
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,19,p19_candidate_0,no_correction_baseline,loss_aware_peel_p_only,0.25,0.25,0.0,0.8046875,0.8046875,0.0,0.0,0.0,0.0,0.0,0.25,True,0.899,0.8805,0.899,0.8805,0.0,0.0,0.899,0.899,0.899,0.899,1.0,1.0,False,False,metric_produced_but_not_claimable,metric_produced_but_not_claimable,quotient_cochain_inconsistent_sign_1,no_correction_baseline
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,19,p19_candidate_1,minimal_displacement,loss_aware_peel_p_only,0.25,0.25,0.0,0.8046875,0.8046875,0.0,0.0,0.0,0.0,0.0,0.0,True,0.899,0.8805,0.899,0.8805,0.0,0.0,0.899,0.899,0.899,0.899,1.0,1.0,False,False,metric_produced_but_not_claimable,metric_produced_but_not_claimable,quotient_cochain_inconsistent_sign_1,loss_aware_representative_selection_available
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,19,p19_candidate_2,best_quotient_residual,loss_aware_peel_p_only,0.25,0.25,0.0,0.8046875,0.8046875,0.0,0.0,0.0,0.0,0.0,0.0,True,0.899,0.8805,0.899,0.8805,0.0,0.0,0.899,0.899,0.899,0.899,1.0,1.0,False,False,metric_produced_but_not_claimable,metric_produced_but_not_claimable,quotient_cochain_inconsistent_sign_1,loss_aware_representative_selection_available
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,19,p19_candidate_3,best_permutation_cycle,loss_aware_peel_p_only,0.25,0.25,0.0,0.8046875,0.8046875,0.0,0.0,0.0,0.0,0.0,8.046875,True,0.899,0.8805,0.899,0.8805,0.0,0.0,0.899,0.899,0.899,0.899,1.0,1.0,False,False,metric_produced_but_not_claimable,metric_produced_but_not_claimable,quotient_cochain_inconsistent_sign_1,loss_aware_representative_selection_available
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,19,p19_candidate_4,combined_objective,loss_aware_peel_p_only,0.25,0.25,0.0,0.8046875,0.8046875,0.0,0.0,0.0,0.0,0.0,3.21875,True,0.899,0.8805,0.899,0.8805,0.0,0.0,0.899,0.899,0.899,0.899,1.0,1.0,False,False,metric_produced_but_not_claimable,metric_produced_but_not_claimable,quotient_cochain_inconsistent_sign_1,loss_aware_representative_selection_available
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,43,p43_candidate_0,no_correction_baseline,loss_aware_peel_p_only,0.25,0.25,0.0,0.8046875,0.8046875,0.0,0.0,0.0,0.0,0.0,0.25,True,0.899,0.8805,0.899,0.8805,0.0,0.0,0.899,0.899,0.899,0.899,1.0,1.0,False,False,metric_produced_but_not_claimable,metric_produced_but_not_claimable,quotient_cochain_inconsistent_sign_1,no_correction_baseline
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,43,p43_candidate_1,minimal_displacement,loss_aware_peel_p_only,0.25,0.25,0.0,0.8046875,0.8046875,0.0,0.0,0.0,0.0,0.0,0.0,True,0.899,0.8805,0.899,0.8805,0.0,0.0,0.899,0.899,0.899,0.899,1.0,1.0,False,False,metric_produced_but_not_claimable,metric_produced_but_not_claimable,quotient_cochain_inconsistent_sign_1,loss_aware_representative_selection_available
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,43,p43_candidate_2,best_quotient_residual,loss_aware_peel_p_only,0.25,0.25,0.0,0.8046875,0.8046875,0.0,0.0,0.0,0.0,0.0,0.0,True,0.899,0.8805,0.899,0.8805,0.0,0.0,0.899,0.899,0.899,0.899,1.0,1.0,False,False,metric_produced_but_not_claimable,metric_produced_but_not_claimable,quotient_cochain_inconsistent_sign_1,loss_aware_representative_selection_available
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,43,p43_candidate_3,best_permutation_cycle,loss_aware_peel_p_only,0.25,0.25,0.0,0.8046875,0.8046875,0.0,0.0,0.0,0.0,0.0,8.046875,True,0.899,0.8805,0.899,0.8805,0.0,0.0,0.899,0.899,0.899,0.899,1.0,1.0,False,False,metric_produced_but_not_claimable,metric_produced_but_not_claimable,quotient_cochain_inconsistent_sign_1,loss_aware_representative_selection_available
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,43,p43_candidate_4,combined_objective,loss_aware_peel_p_only,0.25,0.25,0.0,0.8046875,0.8046875,0.0,0.0,0.0,0.0,0.0,3.21875,True,0.899,0.8805,0.899,0.8805,0.0,0.0,0.899,0.899,0.899,0.899,1.0,1.0,False,False,metric_produced_but_not_claimable,metric_produced_but_not_claimable,quotient_cochain_inconsistent_sign_1,loss_aware_representative_selection_available
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,2,p2_candidate_0,no_correction_baseline,loss_aware_peel_p_only,1.0,1.0,0.0,0.79296875,0.79296875,0.0,0.0,0.0,0.0,0.0,1.0,True,0.8055,0.781,0.8055,0.781,0.0,0.0,,0.806,0.786,0.8055,1.0,1.0,False,False,metric_produced_but_not_claimable,metric_produced_but_not_claimable,exact_quotient_cochain_solve_sign_1,no_correction_baseline
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,2,p2_candidate_1,minimal_displacement,loss_aware_peel_p_only,1.0,0.0,1.0,0.79296875,0.6796875,0.11328125,0.359375,0.71875,0.0,0.0,1.359375,True,0.786,0.7585,0.8055,0.781,-0.019499999999999962,-0.022500000000000075,,0.806,0.786,0.8055,1.0,1.0,False,False,not_selected_fails_unpeeled_baseline_gate,,exact_quotient_cochain_solve_sign_1,loss_aware_representative_selection_available
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,2,p2_candidate_2,best_quotient_residual,loss_aware_peel_p_only,1.0,0.0,1.0,0.79296875,0.6796875,0.11328125,0.359375,0.71875,0.0,0.0,10.01796875,True,0.786,0.7585,0.8055,0.781,-0.019499999999999962,-0.022500000000000075,,0.806,0.786,0.8055,1.0,1.0,False,False,not_selected_fails_unpeeled_baseline_gate,,exact_quotient_cochain_solve_sign_1,loss_aware_representative_selection_available
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,2,p2_candidate_3,best_permutation_cycle,loss_aware_peel_p_only,1.0,0.0,1.0,0.79296875,0.44921875,0.34375,0.3828125,0.859375,0.0,0.0,5.511328125,True,0.786,0.7585,0.8055,0.781,-0.019499999999999962,-0.022500000000000075,,0.806,0.786,0.8055,1.0,1.0,False,False,not_selected_fails_unpeeled_baseline_gate,,exact_quotient_cochain_solve_sign_1,loss_aware_representative_selection_available
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,2,p2_candidate_4,combined_objective,loss_aware_peel_p_only,1.0,0.0,1.0,0.79296875,0.44921875,0.34375,0.3828125,0.859375,0.0,0.0,5.98828125,True,0.786,0.7585,0.8055,0.781,-0.019499999999999962,-0.022500000000000075,,0.806,0.786,0.8055,1.0,1.0,False,False,not_selected_fails_unpeeled_baseline_gate,,exact_quotient_cochain_solve_sign_1,loss_aware_representative_selection_available
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,3,p3_candidate_0,no_correction_baseline,loss_aware_peel_p_only,0.75,0.75,0.0,0.79296875,0.79296875,0.0,0.0,0.0,0.0,0.0,0.75,True,0.8055,0.781,0.8055,0.781,0.0,0.0,,0.8055,0.8055,0.8055,1.0,1.0,False,False,metric_produced_but_not_claimable,metric_produced_but_not_claimable,quotient_cochain_inconsistent_sign_1,no_correction_baseline
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,3,p3_candidate_1,minimal_displacement,loss_aware_peel_p_only,0.75,0.25,0.5,0.79296875,0.8671875,-0.07421875,0.10416666666666667,0.625,0.0,0.0,0.6041666666666666,True,0.8055,0.781,0.8055,0.781,0.0,0.0,,0.8055,0.8055,0.8055,1.0,1.0,False,False,quotient_peel_not_permutation_safe,quotient_peel_not_permutation_safe,quotient_cochain_inconsistent_sign_1,loss_aware_representative_selection_available
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,3,p3_candidate_2,best_quotient_residual,loss_aware_peel_p_only,0.75,0.25,0.5,0.79296875,0.8671875,-0.07421875,0.10416666666666667,0.625,0.0,0.0,5.005208333333333,True,0.8055,0.781,0.8055,0.781,0.0,0.0,,0.8055,0.8055,0.8055,1.0,1.0,False,False,quotient_peel_not_permutation_safe,quotient_peel_not_permutation_safe,quotient_cochain_inconsistent_sign_1,loss_aware_representative_selection_available
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,3,p3_candidate_3,best_permutation_cycle,loss_aware_peel_p_only,0.75,0.25,0.5,0.79296875,0.859375,-0.06640625,0.1171875,0.703125,0.0,0.0,9.099609375,True,0.773,0.737,0.8055,0.781,-0.03249999999999997,-0.04400000000000004,,0.8055,0.8055,0.8055,1.0,1.0,False,False,quotient_peel_not_permutation_safe,quotient_peel_not_permutation_safe,quotient_cochain_inconsistent_sign_1,loss_aware_representative_selection_available
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,3,p3_candidate_4,combined_objective,loss_aware_peel_p_only,0.75,0.25,0.5,0.79296875,0.859375,-0.06640625,0.1171875,0.703125,0.0,0.0,5.49609375,True,0.773,0.737,0.8055,0.781,-0.03249999999999997,-0.04400000000000004,,0.8055,0.8055,0.8055,1.0,1.0,False,False,quotient_peel_not_permutation_safe,quotient_peel_not_permutation_safe,quotient_cochain_inconsistent_sign_1,loss_aware_representative_selection_available
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,5,p5_candidate_0,no_correction_baseline,loss_aware_peel_p_only,0.25,0.25,0.0,0.79296875,0.79296875,0.0,0.0,0.0,0.0,0.0,0.25,True,0.8055,0.781,0.8055,0.781,0.0,0.0,0.8055,0.8055,0.8055,0.8055,1.0,1.0,False,False,metric_produced_but_not_claimable,metric_produced_but_not_claimable,quotient_cochain_inconsistent_sign_1,no_correction_baseline
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,5,p5_candidate_1,minimal_displacement,loss_aware_peel_p_only,0.25,0.25,0.0,0.79296875,0.79296875,0.0,0.0,0.0,0.0,0.0,0.0,True,0.8055,0.781,0.8055,0.781,0.0,0.0,0.8055,0.8055,0.8055,0.8055,1.0,1.0,False,False,metric_produced_but_not_claimable,metric_produced_but_not_claimable,quotient_cochain_inconsistent_sign_1,loss_aware_representative_selection_available
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,5,p5_candidate_2,best_quotient_residual,loss_aware_peel_p_only,0.25,0.25,0.0,0.79296875,0.79296875,0.0,0.0,0.0,0.0,0.0,0.0,True,0.8055,0.781,0.8055,0.781,0.0,0.0,0.8055,0.8055,0.8055,0.8055,1.0,1.0,False,False,metric_produced_but_not_claimable,metric_produced_but_not_claimable,quotient_cochain_inconsistent_sign_1,loss_aware_representative_selection_available
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,5,p5_candidate_3,best_permutation_cycle,loss_aware_peel_p_only,0.25,0.25,0.0,0.79296875,0.79296875,0.0,0.0,0.0,0.0,0.0,7.9296875,True,0.8055,0.781,0.8055,0.781,0.0,0.0,0.8055,0.8055,0.8055,0.8055,1.0,1.0,False,False,metric_produced_but_not_claimable,metric_produced_but_not_claimable,quotient_cochain_inconsistent_sign_1,loss_aware_representative_selection_available
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,5,p5_candidate_4,combined_objective,loss_aware_peel_p_only,0.25,0.25,0.0,0.79296875,0.79296875,0.0,0.0,0.0,0.0,0.0,3.171875,True,0.8055,0.781,0.8055,0.781,0.0,0.0,0.8055,0.8055,0.8055,0.8055,1.0,1.0,False,False,metric_produced_but_not_claimable,metric_produced_but_not_claimable,quotient_cochain_inconsistent_sign_1,loss_aware_representative_selection_available
