summary_type,scope,n_models,width,method,baseline,n_rows,n_seeds,mean_val_accuracy,mean_test_accuracy,test_accuracy_ci_low,test_accuracy_ci_high,test_accuracy_standard_error,mean_test_loss,mean_merge_degradation,mean_accuracy_delta_vs_c2m3,mean_accuracy_delta_vs_greedy_soup,mean_accuracy_delta_vs_weight_average,mean_validation_delta_vs_c2m3,mean_validation_delta_vs_greedy_soup,mean_validation_delta_vs_weight_average,validation_only_selection,symmetry_status,is_single_model,capacity_matched_to_weight_average,comparison,claim_label,n_pairs,paired_mean_accuracy_delta,paired_accuracy_delta_ci_low,paired_accuracy_delta_ci_high,paired_mean_validation_delta,paired_mean_loss_delta,accuracy_wins,accuracy_ties,accuracy_losses,sign_test_two_sided_p,fixed_settings_positive,fixed_settings_total,selector_choice_counts,selector_behavior_reference,selector_chosen_test_better,selector_chosen_test_tied,selector_chosen_test_worse,mean_selected_alpha,fraction_alpha_zero,fraction_alpha_one_or_more,mean_finite_selected_tau,fraction_tau_infinite,soup_mean_ingredient_count,selected_type_examples,n_settings,mean_permutation_cycle_score,mean_permutation_centrality,mean_signed_permutation_centrality,mean_monomial_centrality,mean_monomial_centrality_improvement,noncentral_residual_fraction,non_brauer_or_noncentral_fraction,finite_index_candidate_fraction,real_central_projective_candidate_fraction,ladder_final_decision_counts,ladder_selected_level_counts,target,predictor,pearson,spearman,claim,claim_decision,claim_reason
method_summary,overall,all,all,c2m3_greedy_soup,,35.0,15.0,0.8357261904761905,0.8208114285714285,0.8187998571428571,0.8227544285714287,0.0010592194004526727,0.5197859665734427,0.001062857142857123,0.06722285714285711,0.0,0.3405142857142857,0.07022619047619044,0.0,0.33799999999999997,True,exact_relu_permutation_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,overall,all,all,c2m3_permutation,,35.0,15.0,0.7655,0.7535885714285714,0.7354164285714286,0.7714011428571428,0.009159604199944441,0.6873684450462886,0.06828571428571424,0.0,-0.06722285714285711,0.2732914285714285,0.0,-0.07022619047619044,0.2677738095238095,True,exact_relu_permutation_symmetry,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,overall,all,all,ensemble_upper_bound,,35.0,15.0,0.8371904761904763,0.8233428571428572,0.8207312857142858,0.8256344285714288,0.0012604006680169513,0.5131165230805533,-0.0014685714285714228,0.0697542857142857,0.0025314285714285543,0.34304571428571423,0.07169047619047612,0.001464285714285683,0.3394642857142857,True,extra_capacity_ensemble,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,overall,all,all,global_monomial_greedy_soup,,35.0,15.0,0.8357261904761905,0.8208114285714285,0.8187198571428571,0.8228230000000001,0.0010592194004526727,0.5197859667301178,0.001062857142857123,0.06722285714285711,0.0,0.3405142857142857,0.07022619047619044,0.0,0.33799999999999997,True,global_exact_relu_positive_scale_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,overall,all,all,global_monomial_scale,,35.0,15.0,0.801047619047619,0.7854514285714286,0.7768165714285713,0.7941208571428571,0.004475744849383475,0.6354676803847722,0.0364228571428571,0.0318628571428571,-0.035359999999999954,0.30515428571428566,0.03554761904761899,-0.034678571428571385,0.3033214285714285,True,validation_selected_global_exact_relu_positive_scale,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,overall,all,all,greedy_soup,,35.0,15.0,0.8357261904761905,0.8208114285714285,0.8187025714285715,0.8228175714285715,0.0010592194004526727,0.519785967509406,0.001062857142857123,0.06722285714285711,0.0,0.3405142857142857,0.07022619047619044,0.0,0.33799999999999997,True,ordinary_single_model_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,overall,all,all,improved_validated_selector,,35.0,15.0,0.8366071428571429,0.8200000000000001,0.8179712857142857,0.8219828571428571,0.001016270988806172,0.5210998753302438,0.0018742857142856914,0.06641142857142854,-0.0008114285714285602,0.3397028571428571,0.07110714285714283,0.0008809523809523513,0.33888095238095234,True,validation_selected_single_model_or_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,overall,all,all,monomial_scale,,35.0,15.0,0.7945952380952381,0.7806742857142857,0.7715049999999998,0.7903315714285715,0.0051487264360777045,0.6380392441586086,0.041199999999999966,0.02708571428571425,-0.04013714285714282,0.30037714285714284,0.029095238095238056,-0.041130952380952344,0.2968690476190476,True,exact_relu_positive_scale_symmetry,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,overall,all,all,monomial_scaled_greedy_soup,,35.0,15.0,0.8357261904761905,0.8208114285714285,0.8187768571428573,0.8229315714285714,0.0010592194004526727,0.519785968176978,0.001062857142857123,0.06722285714285711,0.0,0.3405142857142857,0.07022619047619044,0.0,0.33799999999999997,True,exact_relu_positive_scale_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
method_summary,overall,all,all,optimized_monomial_greedy_soup,,35.0,15.0,0.8357857142857144,0.8207371428571428,0.8186282857142857,0.8228344285714286,0.001060197268105762,0.5198824696690695,0.0011371428571428372,0.06714857142857139,-7.428571428571429e-05,0.34043999999999996,0.07028571428571424,5.952380952380857e-05,0.33805952380952375,True,optimized_exact_relu_positive_scale_soup,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
