dataset,run_id,setting_id,architecture,n_models,width,domain_shift,matching,seed,relation_count,relation_count_status,observed_holonomy_order_lcm,group_closure_status,group_order_if_exact,group_exponent_if_exact,primary_source_order,primary_source_order_source,source_order_factorization,prime_list_used
mnist,mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,mnist_mlp_N4_W64_input_noise_monomial_activation,mlp,4,64,input_noise,monomial_activation,4200,4,sufficient,6176520,truncated_max_group_order,,,6176520,observed_holonomy_order_lcm,2^3 * 3^3 * 5 * 7 * 19 * 43,"2,3,5,7,11,13,17,19,23,29,31,43"
fashion_mnist,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation_seed4200,fashion_mnist_mlp_N4_W64_input_noise_monomial_activation,mlp,4,64,input_noise,monomial_activation,4200,4,sufficient,813960,truncated_max_group_order,,,813960,observed_holonomy_order_lcm,2^3 * 3^2 * 5 * 7 * 17 * 19,"2,3,5,7,11,13,17,19,23,29,31,43"
