mode,selector,n_rows,selected_method_distribution,mean_test_delta_vs_greedy,beats_greedy,ties_greedy,loses_to_greedy,mean_regret_vs_best_candidate,mean_regret_vs_greedy,false_challenger_rate,missed_challenger_rate,used_test_metrics
independent_seed_models,greedy_aware_selector,120,"{'union_candidate_soup': 95, 'optimized_monomial_greedy_soup': 8, 'global_monomial_greedy_soup': 3, 'global_monomial_scale': 2, 'monomial_scaled_greedy_soup': 3, 'optimized_monomial_scale': 5, 'shrinkage_monomial_scale': 2, 'c2m3_greedy_soup': 1, 'shrinkage_monomial_greedy_soup': 1}",-0.0015099999999999966,20,49,51,0.0018141666666666658,0.0015099999999999966,0.425,0.0,False
independent_seed_models,lower_confidence_greedy_aware_selector,120,{'greedy_soup': 120},0.0,0,120,0,0.00030416666666666927,0.0,0.0,0.175,False
independent_seed_models,improved_validated_selector,120,"{'union_candidate_soup': 95, 'optimized_monomial_greedy_soup': 8, 'global_monomial_greedy_soup': 3, 'global_monomial_scale': 2, 'monomial_scaled_greedy_soup': 3, 'optimized_monomial_scale': 5, 'shrinkage_monomial_scale': 2, 'c2m3_greedy_soup': 1, 'shrinkage_monomial_greedy_soup': 1}",-0.0015099999999999966,20,49,51,0.0018141666666666658,0.0015099999999999966,0.425,0.0,False
low_lr_finetune_soup,greedy_aware_selector,40,"{'union_candidate_soup': 33, 'monomial_scaled_greedy_soup': 7}",0.0001724999999999921,14,21,5,5.250000000000532e-05,-0.0001724999999999921,0.125,0.0,False
low_lr_finetune_soup,lower_confidence_greedy_aware_selector,40,{'greedy_soup': 40},0.0,0,40,0,0.00022499999999999742,0.0,0.0,0.35,False
