dataset,architecture,n_models,width,domain_shift,matching,alignment_source,alignment_noise_fraction,fixed_setting_id,rank_method,baseline_method,comparison,branch_count,mean_delta,std_delta,bootstrap_ci_low,bootstrap_ci_high,n_paired_seeds,wins,ties,losses,baseline_ci_lower_positive,rank_lift_capacity_matched_claim_supported,claim_status
fashion_mnist,mlp,3,64,none,monomial_activation,injected_noise,0.15,fashion_mnist_mlp_N3_W64_none_monomial_activation,twisted_rank_lift_2,validation_branch_ensemble_2,twisted_rank_lift_2 - validation_branch_ensemble_2,2,-0.01201666666666665,0.009361037495304975,-0.01573333333333332,-0.009049166666666645,30,0,0,30,False,False,negative_control_not_primary_evidence
fashion_mnist,mlp,3,64,none,monomial_activation,injected_noise,0.15,fashion_mnist_mlp_N3_W64_none_monomial_activation,twisted_rank_lift_2,c2m3_cluster_branch_ensemble_2,twisted_rank_lift_2 - c2m3_cluster_branch_ensemble_2,2,0.001083333333333336,0.00586644951269993,-0.0007666666666666565,0.0034333333333333217,30,3,22,5,False,False,negative_control_not_primary_evidence
fashion_mnist,mlp,3,64,none,monomial_activation,observed,0.0,fashion_mnist_mlp_N3_W64_none_monomial_activation,twisted_rank_lift_2,random_branch_ensemble_2,twisted_rank_lift_2 - random_branch_ensemble_2,2,0.0007000000000000006,0.004405325930248989,-0.0008333333333333305,0.0021837499999999978,30,15,6,9,False,False,unsupported_ci_crosses_zero_or_negative
fashion_mnist,mlp,3,64,none,monomial_activation,observed,0.0,fashion_mnist_mlp_N3_W64_none_monomial_activation,twisted_rank_lift_2,validation_branch_ensemble_2,twisted_rank_lift_2 - validation_branch_ensemble_2,2,-0.006666666666666672,0.00439696865275763,-0.008133333333333319,-0.005066666666666682,30,1,0,29,False,False,unsupported_ci_crosses_zero_or_negative
fashion_mnist,mlp,3,64,none,monomial_activation,observed,0.0,fashion_mnist_mlp_N3_W64_none_monomial_activation,twisted_rank_lift_2,c2m3_cluster_branch_ensemble_2,twisted_rank_lift_2 - c2m3_cluster_branch_ensemble_2,2,0.000733333333333334,0.003850063441782104,-0.0005833333333333248,0.00208333333333333,30,5,23,2,False,False,unsupported_ci_crosses_zero_or_negative
fashion_mnist,mlp,3,64,none,monomial_weight,injected_noise,0.15,fashion_mnist_mlp_N3_W64_none_monomial_weight,twisted_rank_lift_2,random_branch_ensemble_2,twisted_rank_lift_2 - random_branch_ensemble_2,2,-0.00029999999999999287,0.00915065477212535,-0.0037837500000000054,0.002667499999999994,30,12,11,7,False,False,negative_control_not_primary_evidence
fashion_mnist,mlp,3,64,none,monomial_weight,injected_noise,0.15,fashion_mnist_mlp_N3_W64_none_monomial_weight,twisted_rank_lift_2,validation_branch_ensemble_2,twisted_rank_lift_2 - validation_branch_ensemble_2,2,-0.01084999999999999,0.008758394987588779,-0.013949999999999988,-0.00771625,30,2,1,27,False,False,negative_control_not_primary_evidence
fashion_mnist,mlp,3,64,none,monomial_weight,injected_noise,0.15,fashion_mnist_mlp_N3_W64_none_monomial_weight,twisted_rank_lift_2,c2m3_cluster_branch_ensemble_2,twisted_rank_lift_2 - c2m3_cluster_branch_ensemble_2,2,-0.0012166666666666621,0.006874093461652966,-0.0038170833333333277,0.0009500000000000027,30,5,19,6,False,False,negative_control_not_primary_evidence
fashion_mnist,mlp,3,64,none,monomial_weight,observed,0.0,fashion_mnist_mlp_N3_W64_none_monomial_weight,twisted_rank_lift_2,random_branch_ensemble_2,twisted_rank_lift_2 - random_branch_ensemble_2,2,0.0009999999999999972,0.005586313323805246,-0.000916666666666677,0.0028499999999999936,30,13,9,8,False,False,unsupported_ci_crosses_zero_or_negative
fashion_mnist,mlp,3,64,none,monomial_weight,observed,0.0,fashion_mnist_mlp_N3_W64_none_monomial_weight,twisted_rank_lift_2,validation_branch_ensemble_2,twisted_rank_lift_2 - validation_branch_ensemble_2,2,-0.0035833333333333385,0.0045145040842197405,-0.0051666666666666675,-0.0020329166666666746,30,6,2,22,False,False,unsupported_ci_crosses_zero_or_negative
