source,setting_id,dataset,architecture,n_models,width,seed,triangle,i,j,k,matching,individual_accuracy_mean,single_best_accuracy,weight_average_accuracy,weight_merge_degradation,c2m3_accuracy,c2m3_merge_degradation,sync_disagreement,tmpp_classification,tmpp_selected_method,candidate_rank_width,rank_divisible_by_detected_order,cycle_score,centrality_score,scalar_trace_real,scalar_trace_imag,phase_real,phase_imag,phase_angle,finite_index_candidate_score,nearest_root_q,nearest_root_exponent,detected_order_d,nearest_root_phase_real,nearest_root_phase_imag,phase_residual,is_scalar_central_permutation,fixed_point_fraction,permutation_num_cycles,permutation_avg_cycle_length,permutation_max_cycle_length,interpretation,sync_reference,finite_index_candidate_strict,finite_index_candidate_medium,finite_index_candidate_loose
positive_control,clock_shift_order_2,synthetic_clock_shift,projective_pair,3,2,-1,0-1-2,0,1,2,exact_clock_shift,,,,,,,,finite_index_projective_lift,finite_index_projective_lift,2,True,1.4142135623730951,1.2246467991473532e-16,-1.0,0.0,-1.0,0.0,3.141592653589793,2.4492935982947064e-16,2,1,2,-1.0,1.2246467991473532e-16,1.2246467991473532e-16,False,,,,,positive control: exact scalar root-of-unity projective defect,,True,True,True
positive_control,clock_shift_order_3,synthetic_clock_shift,projective_pair,3,3,-1,0-1-2,0,1,2,exact_clock_shift,,,,,,,,finite_index_projective_lift,finite_index_projective_lift,3,True,1.2247448713915892,2.583903469664147e-16,-0.5,0.8660254037844386,-0.5000000000000001,0.8660254037844387,2.0943951023931957,5.359461031227038e-16,3,1,3,-0.49999999999999983,0.8660254037844387,2.7755575615628914e-16,False,,,,,positive control: exact scalar root-of-unity projective defect,,True,True,True
positive_control,clock_shift_order_4,synthetic_clock_shift,projective_pair,3,4,-1,0-1-2,0,1,2,exact_clock_shift,,,,,,,,finite_index_projective_lift,finite_index_projective_lift,4,True,1.0,1.0605752387249068e-16,0.0,1.0,0.0,1.0,1.5707963267948966,1.6728986382985834e-16,4,1,4,6.123233995736766e-17,1.0,6.123233995736766e-17,False,,,,,positive control: exact scalar root-of-unity projective defect,,True,True,True
real_mnist,mnist_mlp_N3_W16_S1400,mnist,mlp,3,16,1400,0-1-2,0,1,2,activation,0.6296666666666667,0.69,0.368,0.32199999999999995,0.569,0.121,0.16666666666666666,edge_outlier_or_noise,c2m3_cycle_consistent,16,False,0.8660254037844385,0.9682458365518543,0.25,0.0,1.0,0.0,0.0,0.9682458365518543,1,0,1,1.0,0.0,0.0,False,0.25,7.0,2.2857142857142856,8.0,real MNIST activation-permutation triangle residual,2.0,False,False,False
real_mnist,mnist_mlp_N3_W32_S1400,mnist,mlp,3,32,1400,0-1-2,0,1,2,activation,0.7593333333333333,0.785,0.616,0.16900000000000004,0.672,0.11299999999999999,0.15625,random_noncentral,best_validation_baseline,32,False,0.7905694150420949,0.9270248108869578,0.375,0.0,1.0,0.0,0.0,0.9270248108869578,1,0,1,1.0,0.0,0.0,False,0.375,14.0,2.2857142857142856,16.0,real MNIST activation-permutation triangle residual,2.0,False,False,False
real_mnist,mnist_mlp_N4_W16_S1400,mnist,mlp,4,16,1400,0-1-2,0,1,2,activation,0.6215,0.722,0.367,0.355,0.509,0.21299999999999997,0.27734375,random_noncentral,best_validation_baseline,16,False,0.9682458365518541,0.998044963916957,0.0625,0.0,1.0,0.0,0.0,0.998044963916957,1,0,1,1.0,0.0,0.0,False,0.0625,4.0,4.0,8.0,real MNIST activation-permutation triangle residual,3.0,False,False,False
real_mnist,mnist_mlp_N4_W16_S1400,mnist,mlp,4,16,1400,0-1-3,0,1,3,activation,0.6215,0.722,0.367,0.355,0.509,0.21299999999999997,0.27734375,random_noncentral,best_validation_baseline,16,False,0.7905694150420948,0.9270248108869579,0.375,0.0,1.0,0.0,0.0,0.9270248108869579,1,0,1,1.0,0.0,0.0,False,0.375,8.0,2.0,8.0,real MNIST activation-permutation triangle residual,3.0,False,False,False
real_mnist,mnist_mlp_N4_W16_S1400,mnist,mlp,4,16,1400,0-2-3,0,2,3,activation,0.6215,0.722,0.367,0.355,0.509,0.21299999999999997,0.27734375,random_noncentral,best_validation_baseline,16,False,0.82915619758885,0.9499177595981665,0.3125,0.0,1.0,0.0,0.0,0.9499177595981665,1,0,1,1.0,0.0,0.0,False,0.3125,7.0,2.2857142857142856,9.0,real MNIST activation-permutation triangle residual,3.0,False,False,False
real_mnist,mnist_mlp_N4_W16_S1400,mnist,mlp,4,16,1400,1-2-3,1,2,3,activation,0.6215,0.722,0.367,0.355,0.509,0.21299999999999997,0.27734375,random_noncentral,best_validation_baseline,16,False,0.9013878188659972,0.982264602843857,0.1875,0.0,1.0,0.0,0.0,0.982264602843857,1,0,1,1.0,0.0,0.0,False,0.1875,5.0,3.2,11.0,real MNIST activation-permutation triangle residual,3.0,False,False,False
real_mnist,mnist_mlp_N4_W32_S1400,mnist,mlp,4,32,1400,0-1-2,0,1,2,activation,0.79275,0.807,0.543,0.264,0.745,0.062000000000000055,0.28515625,random_noncentral,best_validation_baseline,32,False,0.8660254037844386,0.9682458365518541,0.25,0.0,1.0,0.0,0.0,0.9682458365518541,1,0,1,1.0,0.0,0.0,False,0.25,12.0,2.6666666666666665,18.0,real MNIST activation-permutation triangle residual,2.0,False,False,False
