dataset,target_heterophily,seed,observed_heterophily,edge_count,triangle_count,train_nodes,validation_nodes,test_nodes,official_nsd_run,implementation,method,train_accuracy,validation_accuracy,test_accuracy,train_loss,validation_loss,test_loss,cycle_inconsistency_mean,cycle_inconsistency_std,cycle_regularizer_lambda,hidden_feature_variance,dirichlet_energy,best_epoch,epochs_ran,parameter_count
synthetic_heterophilic_sbm,0.25,0,0.22981366459627328,483,99,24,24,72,False,self_contained_pytorch_rotation_sheaf,gcn,1.0,0.9583333134651184,0.9305555820465088,0.03282811865210533,0.09412927180528641,0.24910661578178406,,,0.0,0.26833978295326233,0.21972298622131348,29,65,458
synthetic_heterophilic_sbm,0.25,0,0.22981366459627328,483,99,24,24,72,False,self_contained_pytorch_rotation_sheaf,rotation_sheaf,1.0,0.875,0.8888888955116272,0.10296449810266495,0.3262796103954315,0.2745020091533661,1.2250614166259766,0.6546467542648315,0.0,0.6386330723762512,1.3093069791793823,6,42,2235
synthetic_heterophilic_sbm,0.25,0,0.22981366459627328,483,99,24,24,72,False,self_contained_pytorch_rotation_sheaf,rotation_sheaf_cycle_reg,1.0,0.9166666865348816,0.9027777910232544,0.15558280050754547,0.289304256439209,0.2708522379398346,0.3774445354938507,0.26896581053733826,0.05,0.5097092390060425,1.2969495058059692,6,42,2235
synthetic_heterophilic_sbm,0.25,1,0.24830699774266365,443,78,24,24,72,False,self_contained_pytorch_rotation_sheaf,gcn,1.0,1.0,0.9722222089767456,0.0043446458876132965,0.06776237487792969,0.0887330025434494,,,0.0,0.3190767765045166,0.1983824372291565,52,88,458
synthetic_heterophilic_sbm,0.25,1,0.24830699774266365,443,78,24,24,72,False,self_contained_pytorch_rotation_sheaf,rotation_sheaf,1.0,0.8333333134651184,0.9027777910232544,0.018331253901124,0.32767027616500854,0.32086309790611267,1.1872525215148926,0.6424465775489807,0.0,0.6584778428077698,1.2553961277008057,7,43,2235
synthetic_heterophilic_sbm,0.25,1,0.24830699774266365,443,78,24,24,72,False,self_contained_pytorch_rotation_sheaf,rotation_sheaf_cycle_reg,1.0,0.9166666865348816,0.9166666865348816,1.567989238537848e-05,0.23811358213424683,0.2978062629699707,0.6669641137123108,0.6170913577079773,0.05,2.484921455383301,1.0599409341812134,29,65,2235
synthetic_heterophilic_sbm,0.25,2,0.2261904761904762,420,63,24,24,72,False,self_contained_pytorch_rotation_sheaf,gcn,1.0,0.9583333134651184,0.9722222089767456,0.03571493551135063,0.1082826778292656,0.12937186658382416,,,0.0,0.2483372688293457,0.2210010141134262,26,62,458
synthetic_heterophilic_sbm,0.25,2,0.2261904761904762,420,63,24,24,72,False,self_contained_pytorch_rotation_sheaf,rotation_sheaf,1.0,1.0,0.9166666865348816,0.000334972603013739,0.0011541707208380103,0.3148735761642456,1.686150074005127,0.2462129145860672,0.0,2.627734422683716,0.9235520362854004,53,89,2235
synthetic_heterophilic_sbm,0.25,2,0.2261904761904762,420,63,24,24,72,False,self_contained_pytorch_rotation_sheaf,rotation_sheaf_cycle_reg,1.0,1.0,0.9166666865348816,0.0002433841145830229,0.009439568035304546,0.3869386911392212,0.11109609156847,0.07686863839626312,0.05,2.2791311740875244,0.9428945779800415,49,85,2235
synthetic_heterophilic_sbm,0.55,0,0.5567010309278351,485,61,24,24,72,False,self_contained_pytorch_rotation_sheaf,gcn,0.6666666865348816,0.625,0.6111111044883728,0.5526543259620667,0.6540253758430481,0.6776717901229858,,,0.0,0.012131971307098866,0.16388563811779022,17,53,458
