case_id,source,d,k,noise_type,noise_level,candidate_rank,detector_status,period,index,period_divides_rank,index_divides_rank,decision,selected_method,max_centrality_score,max_phase_residual,min_root_margin,alternating_rank,radical_size,quotient_size,generator_mining_used,n_mined_generators,expected_decision,pass_fail,notes
noisy_heisenberg_d3_k2_entrywise_projected_unitary_1e-05,noisy_heisenberg,3.0,2.0,entrywise_projected_unitary,1e-05,9,certified,3.0,9.0,True,True,period_index_lift_success,period_index_projective_morita_lift,4.501851109954514e-05,4.5018511065331075e-05,0.1900695880105493,4.0,1.0,81.0,False,0,period_index_lift_success,pass,prime-period rank computation certified rank 4 and index 9 robust threshold level medium accepted centrality 4.50185e-05 and phase residual 4.50185e-05
noisy_heisenberg_d3_k2_entrywise_projected_unitary_0.0001,noisy_heisenberg,3.0,2.0,entrywise_projected_unitary,0.0001,9,candidate_uncertain,3.0,9.0,True,,central_projective_candidate_uncertain,none,0.00045017568707467225,0.0004501756528627625,0.18968751537857007,4.0,1.0,81.0,False,0,central_projective_candidate_uncertain,pass,"prime-period rank computation certified rank 4 and index 9 robust threshold level loose accepted centrality 0.000450176 and phase residual 0.000450176 only loose thresholds passed; this is a diagnostic candidate, not a lift certificate"
noisy_heisenberg_d3_k2_entrywise_projected_unitary_0.001,noisy_heisenberg,3.0,2.0,entrywise_projected_unitary,0.001,9,candidate_uncertain,3.0,9.0,True,,central_projective_candidate_uncertain,none,0.004500835631833517,0.004500801441365592,0.18590785936920065,4.0,1.0,81.0,False,0,central_projective_candidate_uncertain,pass,"prime-period rank computation certified rank 4 and index 9 robust threshold level loose accepted centrality 0.00450084 and phase residual 0.0045008 only loose thresholds passed; this is a diagnostic candidate, not a lift certificate"
noisy_heisenberg_d3_k2_entrywise_projected_unitary_0.01,noisy_heisenberg,3.0,2.0,entrywise_projected_unitary,0.01,9,rejected_noncentral,,,,,not_central_projective,best_validation_baseline,0.04493732944015099,0.044903344453926436,0.1521775929562377,,,,False,0,not_central_projective,pass,commutator centrality 0.0449373 exceeds the loose threshold 0.01
noisy_heisenberg_d3_k2_entrywise_projected_unitary_0.05,noisy_heisenberg,3.0,2.0,entrywise_projected_unitary,0.05,9,rejected_noncentral,,,,,not_central_projective,best_validation_baseline,0.22729843306849118,0.2230361556466998,0.07096950304976579,,,,False,0,not_central_projective,pass,commutator centrality 0.227298 exceeds the loose threshold 0.01
rank_test_d3_k2_rank3,rank_divisibility,3.0,2.0,unitary_near_identity,1e-06,3,certified,3.0,9.0,True,False,period_divisible_index_obstructed,none,1.3313423663332882e-05,1.3313423662447966e-05,0.1900987736424438,4.0,1.0,81.0,False,0,period_divisible_index_obstructed,pass,prime-period rank computation certified rank 4 and index 9 candidate rank is divisible by the period but not by the index robust threshold level medium accepted centrality 1.33134e-05 and phase residual 1.33134e-05
rank_test_d3_k2_rank6,rank_divisibility,3.0,2.0,unitary_near_identity,1e-06,6,certified,3.0,9.0,True,False,period_divisible_index_obstructed,none,1.3313423663332882e-05,1.3313423662447966e-05,0.1900987736424438,4.0,1.0,81.0,False,0,period_divisible_index_obstructed,pass,prime-period rank computation certified rank 4 and index 9 candidate rank is divisible by the period but not by the index robust threshold level medium accepted centrality 1.33134e-05 and phase residual 1.33134e-05
rank_test_d3_k2_rank9,rank_divisibility,3.0,2.0,unitary_near_identity,1e-06,9,certified,3.0,9.0,True,True,period_index_lift_success,period_index_projective_morita_lift,1.3313423663332882e-05,1.3313423662447966e-05,0.1900987736424438,4.0,1.0,81.0,False,0,period_index_lift_success,pass,prime-period rank computation certified rank 4 and index 9 robust threshold level medium accepted centrality 1.33134e-05 and phase residual 1.33134e-05
rank_deficient_d3_one_pair_noise_0,rank_deficient,3.0,1.0,unitary_near_identity,0.0,3,certified,3.0,3.0,True,True,period_index_lift_success,period_index_projective_morita_lift,2.583903469664147e-16,3.040470972244059e-16,0.1901120866083651,2.0,9.0,9.0,False,0,period_index_lift_success,pass,prime-period rank computation certified rank 2 and index 3 robust threshold level strict accepted centrality 2.5839e-16 and phase residual 3.04047e-16
rank_deficient_d3_one_pair_noise_1e-06,rank_deficient,3.0,1.0,unitary_near_identity,1e-06,3,certified,3.0,3.0,True,True,period_index_lift_success,period_index_projective_morita_lift,5.6647990720553e-06,5.664799071987131e-06,0.19010711009729497,2.0,9.0,9.0,False,0,period_index_lift_success,pass,prime-period rank computation certified rank 2 and index 3 robust threshold level medium accepted centrality 5.6648e-06 and phase residual 5.6648e-06
rank_deficient_d3_one_pair_noise_1e-05,rank_deficient,3.0,1.0,unitary_near_identity,1e-05,3,certified,3.0,3.0,True,True,period_index_lift_success,period_index_projective_morita_lift,8.879955105468745e-05,8.87995507921063e-05,0.1900233074215876,2.0,9.0,9.0,False,0,period_index_lift_success,pass,prime-period rank computation certified rank 2 and index 3 robust threshold level medium accepted centrality 8.87996e-05 and phase residual 8.87996e-05
noncentral_permutation_0,noncentral_control,,,permutation,0.0,3,rejected_noncentral,,,,,not_central_projective,best_validation_baseline,1.0,1.414213562373095,0.0,,,,False,0,not_central_projective,pass,commutator centrality 1 exceeds the loose threshold 0.01
noncentral_permutation_1e-06,noncentral_control,,,permutation,1e-06,3,rejected_noncentral,,,,,not_central_projective,best_validation_baseline,2211231.1199630303,1.4142132425933782,4.2842210001836634e-08,,,,False,0,not_central_projective,pass,commutator centrality 2.21123e+06 exceeds the loose threshold 0.01
noncentral_permutation_0.001,noncentral_control,,,permutation,0.001,3,rejected_noncentral,,,,,not_central_projective,best_validation_baseline,2205.6306893982896,1.413892934555375,4.280770136189105e-05,,,,False,0,not_central_projective,pass,commutator centrality 2205.63 exceeds the loose threshold 0.01
noncentral_random_gl_0,noncentral_control,,,random_gl,0.0,3,rejected_noncentral,,,,,not_central_projective,best_validation_baseline,0.9187069649129445,0.9147327501808382,0.06750675729366273,,,,False,0,not_central_projective,pass,commutator centrality 0.918707 exceeds the loose threshold 0.01
noncentral_random_gl_1e-06,noncentral_control,,,random_gl,1e-06,3,rejected_noncentral,,,,,not_central_projective,best_validation_baseline,0.9187072740876583,0.9147326703142665,0.06750686801173078,,,,False,0,not_central_projective,pass,commutator centrality 0.918707 exceeds the loose threshold 0.01
noncentral_random_gl_0.001,noncentral_control,,,random_gl,0.001,3,rejected_noncentral,,,,,not_central_projective,best_validation_baseline,0.9190171350750984,0.9146542966708415,0.06761801744829532,,,,False,0,not_central_projective,pass,commutator centrality 0.919017 exceeds the loose threshold 0.01
mixed_period_common_d12_unknown,unknown_index_control,12.0,,none,0.0,12,unknown_index,12.0,,True,,central_projective_index_unknown,none,2.583903469664147e-16,3.040470972244059e-16,0.5176380902050413,,,,False,0,central_projective_index_unknown,pass,"common period 12 exceeds max_root_order 4; index not certified robust threshold level strict accepted centrality 2.5839e-16 and phase residual 3.04047e-16 scalar central commutators were visible, but the index was not certified"
synthetic_loop_mining_d2_k2,synthetic_transition_mining,2.0,2.0,none,0.0,4,certified,2.0,4.0,True,True,period_index_lift_success,period_index_projective_morita_lift,1.2246467991473532e-16,1.7319121124709866e-16,0.2846296765465698,4.0,1.0,16.0,True,4,period_index_lift_success,pass,prime-period rank computation certified rank 4 and index 4 robust threshold level strict accepted centrality 1.22465e-16 and phase residual 1.73191e-16 selected 4 loop holonomies with scalar pairwise commutators mined candidates are diagnostics unless the robust detector certifies their index selected 4 loop holonomies with scalar pairwise commutators; mined candidates are diagnostics unless the robust detector certifies their index
