residual_id,policy,candidate_label,bootstrap_mode,bootstrap_samples,bootstrap_detection_rate,bootstrap_order_agreement_rate,bootstrap_phase_std,bootstrap_residual_mean,bootstrap_residual_std
mnist_mlp_N4_W64_input_noise_monomial_activation_seed4205:0-1-2:620,strict_fpr_0,rejected,coordinate_resample_residual_submatrix,100,0.0,1.0,0.0,1.1100340509699897,0.11187057361067025
mnist_mlp_N4_W64_input_noise_monomial_activation_seed4205:0-1-2:620,strict_fpr_001,rejected,coordinate_resample_residual_submatrix,100,0.0,1.0,0.0,1.0999277342668605,0.09771256437133545
mnist_mlp_N4_W64_input_noise_monomial_activation_seed4205:0-1-2:620,loose_1e-2,rejected,coordinate_resample_residual_submatrix,100,0.0,1.0,0.0,1.1100750467668952,0.09931359810795902
mnist_mlp_N4_W64_input_noise_monomial_activation_seed4205:0-1-2:620,diagnostic_5e-2,rejected,coordinate_resample_residual_submatrix,100,0.0,1.0,0.0,1.084491810452519,0.09217343709375383
mnist_mlp_N4_W64_none_monomial_activation_seed4215:0-2-3:422,strict_fpr_0,rejected,coordinate_resample_residual_submatrix,100,0.0,1.0,0.0,1.1133033553585563,0.1045528624190179
mnist_mlp_N4_W64_none_monomial_activation_seed4215:0-2-3:422,strict_fpr_001,rejected,coordinate_resample_residual_submatrix,100,0.0,1.0,0.0,1.1311156652204009,0.099968860470845
mnist_mlp_N4_W64_none_monomial_activation_seed4215:0-2-3:422,loose_1e-2,rejected,coordinate_resample_residual_submatrix,100,0.0,1.0,0.0,1.1412970959177435,0.12101037714970021
mnist_mlp_N4_W64_none_monomial_activation_seed4215:0-2-3:422,diagnostic_5e-2,rejected,coordinate_resample_residual_submatrix,100,0.0,1.0,0.0,1.1392109379375823,0.10026496494018484
mnist_mlp_N4_W64_none_monomial_activation_seed4222:0-1-3:449,strict_fpr_0,rejected,coordinate_resample_residual_submatrix,100,0.0,1.0,0.0,1.1182383012238628,0.10099636745015159
mnist_mlp_N4_W64_none_monomial_activation_seed4222:0-1-3:449,strict_fpr_001,rejected,coordinate_resample_residual_submatrix,100,0.0,1.0,0.0,1.1111039180505562,0.08946612368977136
mnist_mlp_N4_W64_none_monomial_activation_seed4222:0-1-3:449,loose_1e-2,rejected,coordinate_resample_residual_submatrix,100,0.0,1.0,0.0,1.120535067563086,0.11103056749801431
mnist_mlp_N4_W64_none_monomial_activation_seed4222:0-1-3:449,diagnostic_5e-2,rejected,coordinate_resample_residual_submatrix,100,0.0,1.0,0.0,1.097424731058168,0.11489076501693068
fashion_mnist_mlp_N4_W64_none_monomial_activation_seed4220:0-2-3:1642,strict_fpr_0,rejected,coordinate_resample_residual_submatrix,100,0.0,1.0,0.0,1.1428303789070722,0.09348443896522375
fashion_mnist_mlp_N4_W64_none_monomial_activation_seed4220:0-2-3:1642,strict_fpr_001,rejected,coordinate_resample_residual_submatrix,100,0.0,1.0,0.0,1.1614373551927724,0.10259686100737524
fashion_mnist_mlp_N4_W64_none_monomial_activation_seed4220:0-2-3:1642,loose_1e-2,rejected,coordinate_resample_residual_submatrix,100,0.0,1.0,0.0,1.1317073569533438,0.10174222820120787
fashion_mnist_mlp_N4_W64_none_monomial_activation_seed4220:0-2-3:1642,diagnostic_5e-2,rejected,coordinate_resample_residual_submatrix,100,0.0,1.0,0.0,1.1577918845514796,0.09857635237603841
mnist_mlp_N4_W64_input_noise_monomial_activation_seed4220:0-2-3:682,strict_fpr_0,rejected,coordinate_resample_residual_submatrix,100,0.0,1.0,0.0,1.2183238117434774,0.11618902880564456
mnist_mlp_N4_W64_input_noise_monomial_activation_seed4220:0-2-3:682,strict_fpr_001,rejected,coordinate_resample_residual_submatrix,100,0.0,1.0,0.0,1.2157047641575311,0.09089962169922007
mnist_mlp_N4_W64_input_noise_monomial_activation_seed4220:0-2-3:682,loose_1e-2,rejected,coordinate_resample_residual_submatrix,100,0.0,1.0,0.0,1.2169874432734824,0.12891831935199619
mnist_mlp_N4_W64_input_noise_monomial_activation_seed4220:0-2-3:682,diagnostic_5e-2,rejected,coordinate_resample_residual_submatrix,100,0.0,1.0,0.0,1.1978246617823645,0.11965658814086579
fashion_mnist_mlp_N4_W64_none_monomial_activation_seed4203:0-1-3:1573,strict_fpr_0,rejected,coordinate_resample_residual_submatrix,100,0.0,1.0,0.0,1.1336014695023788,0.09311583137586844
fashion_mnist_mlp_N4_W64_none_monomial_activation_seed4203:0-1-3:1573,strict_fpr_001,rejected,coordinate_resample_residual_submatrix,100,0.0,1.0,0.0,1.1371087224726377,0.1060306244224002
fashion_mnist_mlp_N4_W64_none_monomial_activation_seed4203:0-1-3:1573,loose_1e-2,rejected,coordinate_resample_residual_submatrix,100,0.0,1.0,0.0,1.1379322385677073,0.09940601752234195
