case_id,source,noise_type,noise_level,candidate_rank,n,certification_rate,uncertain_rate,rejection_rate,correct_period_rate,correct_index_rate,false_lift_rate,false_positive_central_rate,false_positive_lift_rate,false_negative_rejection_rate,period_divisible_index_obstructed_rejection_rate,mean_centrality_score,mean_phase_residual,mean_root_margin
abelian_trivial_control,trivial_abelian_negative,unitary_near_identity,0.001,4,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001044949637256192,0.0010449490905193254,0.5165941334448438
abelian_trivial_control,trivial_abelian_negative,unitary_near_identity,0.003,4,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031283783234849357,0.0031283637833135966,0.5145185898338582
abelian_trivial_control,trivial_abelian_negative,unitary_near_identity,0.01,4,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01046925854816518,0.010468726702895536,0.5072677138635265
abelian_trivial_control,trivial_abelian_negative,unitary_near_identity,0.03,4,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03554567886047363,0.035526171439598075,0.4832183238781325
abelian_trivial_control,trivial_abelian_negative,unitary_near_identity,0.05,4,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07214910778613412,0.07199168733761371,0.4501232472743454
composite_d4_k1,central_positive,entrywise_projected_unitary,0.0,4,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0605752387249068e-16,1.2246467991473532e-16,0.14267836639846443
composite_d4_k1,central_positive,entrywise_projected_unitary,0.0,8,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0605752387249068e-16,1.2246467991473532e-16,0.14267836639846443
composite_d4_k1,central_positive,entrywise_projected_unitary,1e-07,4,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.8359828516046414e-07,2.835982851604551e-07,0.14267808280046387
composite_d4_k1,central_positive,entrywise_projected_unitary,1e-07,8,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.8359828516046414e-07,2.835982851604551e-07,0.14267808280046387
composite_d4_k1,central_positive,entrywise_projected_unitary,3e-07,4,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.507948412398453e-07,8.507948412396006e-07,0.14267751560618372
composite_d4_k1,central_positive,entrywise_projected_unitary,3e-07,8,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.507948412398453e-07,8.507948412396006e-07,0.14267751560618372
composite_d4_k1,central_positive,entrywise_projected_unitary,1e-06,4,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.835982635088325e-06,2.835982635079261e-06,0.14267553044427844
composite_d4_k1,central_positive,entrywise_projected_unitary,1e-06,8,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.835982635088325e-06,2.835982635079261e-06,0.14267553044427844
composite_d4_k1,central_positive,entrywise_projected_unitary,3e-06,4,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.507946456402046e-06,8.507946456157318e-06,0.14266985870804924
composite_d4_k1,central_positive,entrywise_projected_unitary,3e-06,8,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.507946456402046e-06,8.507946456157318e-06,0.14266985870804924
composite_d4_k1,central_positive,entrywise_projected_unitary,1e-05,4,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.8359804623473194e-05,2.8359804614409155e-05,0.142650009438745
composite_d4_k1,central_positive,entrywise_projected_unitary,1e-05,8,20,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.8359804623473194e-05,2.8359804614409155e-05,0.142650009438745
composite_d4_k1,central_positive,entrywise_projected_unitary,3e-05,4,20,0.8,0.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.507926914932272e-05,8.507926890459475e-05,0.14259331273351972
composite_d4_k1,central_positive,entrywise_projected_unitary,3e-05,8,20,0.8,0.2,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.507926914932272e-05,8.507926890459475e-05,0.14259331273351972
composite_d4_k1,central_positive,entrywise_projected_unitary,0.0001,4,20,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0002835958800505073,0.0002835958709866641,0.14239505501205968
composite_d4_k1,central_positive,entrywise_projected_unitary,0.0001,8,20,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0002835958800505073,0.0002835958709866641,0.14239505501205968
composite_d4_k1,central_positive,entrywise_projected_unitary,0.0003,4,20,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0008507733269414187,0.0008507730822296574,0.14183015356319664
composite_d4_k1,central_positive,entrywise_projected_unitary,0.0003,8,20,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0008507733269414187,0.0008507730822296574,0.14183015356319664
composite_d4_k1,central_positive,entrywise_projected_unitary,0.001,4,20,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0028357487365704556,0.002835739674712263,0.13987106752284384
composite_d4_k1,central_positive,entrywise_projected_unitary,0.001,8,20,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0028357487365704556,0.002835739674712263,0.13987106752284384
composite_d4_k1,central_positive,entrywise_projected_unitary,0.003,4,20,0.0,0.8,0.2,0.8,0.8,0.0,0.0,0.0,0.2,0.0,0.008505973719849253,0.008505729164860417,0.1344282906428563
composite_d4_k1,central_positive,entrywise_projected_unitary,0.003,8,20,0.0,0.8,0.2,0.8,0.8,0.0,0.0,0.0,0.2,0.0,0.008505973719849253,0.008505729164860417,0.1344282906428563
composite_d4_k1,central_positive,entrywise_projected_unitary,0.01,4,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.02834302610327612,0.02833398186393829,0.11715405846694704
composite_d4_k1,central_positive,entrywise_projected_unitary,0.01,8,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.02834302610327612,0.02833398186393829,0.11715405846694704
composite_d4_k1,central_positive,entrywise_projected_unitary,0.03,4,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.08506030393120773,0.08481677166208576,0.08125394733322919
composite_d4_k1,central_positive,entrywise_projected_unitary,0.03,8,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.08506030393120773,0.08481677166208576,0.08125394733322919
composite_d4_k1,central_positive,entrywise_projected_unitary,0.05,4,20,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1421142266244536,0.1409872587632151,0.05956263479500314
