dataset,architecture,domain_shift,baseline,accuracy,merge_degradation,cycle_score
cifar10,cnn,input_noise,c2m3_cycle_consistent,0.115234375,0.0146484375,0.41414870470663334
cifar10,cnn,input_noise,ensemble_upper_bound,0.115234375,0.0146484375,0.41414870470663334
cifar10,cnn,input_noise,git_rebasin_pairwise,0.115234375,0.0146484375,0.41414870470663334
cifar10,cnn,input_noise,greedy_soup,0.1201171875,0.009765625,0.41414870470663334
cifar10,cnn,input_noise,twisted_rank_lift_2,0.115234375,0.0146484375,0.41414870470663334
cifar10,cnn,input_noise,weight_average,0.115234375,0.0146484375,0.41414870470663334
cifar10,cnn,none,c2m3_cycle_consistent,0.115234375,0.0146484375,0.4330127018922193
cifar10,cnn,none,ensemble_upper_bound,0.115234375,0.0146484375,0.4330127018922193
cifar10,cnn,none,git_rebasin_pairwise,0.115234375,0.0146484375,0.4330127018922193
cifar10,cnn,none,greedy_soup,0.1201171875,0.009765625,0.4330127018922193
cifar10,cnn,none,twisted_rank_lift_2,0.115234375,0.0146484375,0.4330127018922193
cifar10,cnn,none,weight_average,0.115234375,0.0146484375,0.4330127018922193
mnist,mlp,input_noise,c2m3_cycle_consistent,0.1416015625,0.0341796875,0.4330127018922193
mnist,mlp,input_noise,ensemble_upper_bound,0.1748046875,0.0009765625,0.4330127018922193
mnist,mlp,input_noise,git_rebasin_pairwise,0.1416015625,0.0341796875,0.4330127018922193
mnist,mlp,input_noise,greedy_soup,0.189453125,-0.013671875,0.4330127018922193
mnist,mlp,input_noise,twisted_rank_lift_2,0.16796875,0.0078125,0.4330127018922193
mnist,mlp,input_noise,weight_average,0.140625,0.03515625,0.4330127018922193
mnist,mlp,none,c2m3_cycle_consistent,0.1572265625,0.0244140625,0.41414870470663334
mnist,mlp,none,ensemble_upper_bound,0.177734375,0.00390625,0.41414870470663334
mnist,mlp,none,git_rebasin_pairwise,0.1572265625,0.0244140625,0.41414870470663334
mnist,mlp,none,greedy_soup,0.1865234375,-0.0048828125,0.41414870470663334
mnist,mlp,none,twisted_rank_lift_2,0.1767578125,0.0048828125,0.41414870470663334
mnist,mlp,none,weight_average,0.1396484375,0.0419921875,0.41414870470663334
