evidence_label,mode,corpus_seed,method,active_parameters,stored_bytes,branch_count,inference_multiplier,fusion_parameters,parameter_multiplier_vs_single,fusion_latency_ms_for_complete_test_tensor,shared_frozen_encoder_parameters,transition_feature_dimension
natural_measured,confirmatory,1,random_branch_count_matched_control,9296,37184,8,8.0,0,8.0,1.2583329807966948,11176512,64
natural_measured,confirmatory,1,wrong_group_action_control,9296,37184,8,8.0,0,8.0,1.7394998576492071,11176512,64
natural_measured,confirmatory,1,wrong_multiplication_order_control,9296,37184,8,8.0,0,8.0,1.2162078637629747,11176512,64
natural_measured,confirmatory,1,prediction_ensemble_upper_bound,9296,37184,8,8.0,0,8.0,0.07933308370411396,11176512,64
natural_measured,confirmatory,1,oracle_chart_aware_fusion,1162,37184,1,1.0,0,1.0,0.0342091079801321,11176512,64
natural_measured,confirmatory,1,parameter_matched_generic_concat_head,14426,57704,8,8.0,5130,12.414802065404475,2.255749888718128,11176512,64
natural_measured,confirmatory,2,best_individual_adapter,1162,4648,1,1.0,0,1.0,0.020665815100073814,11176512,64
natural_measured,confirmatory,2,raw_parameter_average,1162,4648,1,1.0,0,1.0,0.39541604928672314,11176512,64
natural_measured,confirmatory,2,pairwise_reference_alignment,9296,168256,8,8.0,0,8.0,0.4806250799447298,11176512,64
natural_measured,confirmatory,2,global_c2m3_synchronization,9946,170856,8,8.0,650,8.559380378657487,0.35487511195242405,11176512,64
natural_measured,confirmatory,2,graph_synchronized_adapter_merge,9296,168256,8,8.0,0,8.0,0.41604088619351387,11176512,64
natural_measured,confirmatory,2,regular_d4_branch_invariant_pooling,9296,37184,8,8.0,0,8.0,0.9350420441478491,11176512,64
natural_measured,confirmatory,2,orbit_branch_invariant_pooling,9296,168256,8,8.0,0,8.0,4.871583078056574,11176512,64
natural_measured,confirmatory,2,generic_mixture_of_experts,9296,37184,8,8.0,0,8.0,2.669250126928091,11176512,64
natural_measured,confirmatory,2,learned_router,9432,37728,8,8.0,136,8.117039586919105,4.791541025042534,11176512,64
natural_measured,confirmatory,2,d4_test_time_augmentation,1162,4648,8,8.0,0,1.0,0.002125045284628868,11176512,64
natural_measured,confirmatory,2,random_branch_count_matched_control,9296,37184,8,8.0,0,8.0,0.5656250286847353,11176512,64
natural_measured,confirmatory,2,wrong_group_action_control,9296,37184,8,8.0,0,8.0,0.44633401557803154,11176512,64
natural_measured,confirmatory,2,wrong_multiplication_order_control,9296,37184,8,8.0,0,8.0,0.46341679990291595,11176512,64
natural_measured,confirmatory,2,prediction_ensemble_upper_bound,9296,37184,8,8.0,0,8.0,0.03850017674267292,11176512,64
natural_measured,confirmatory,2,oracle_chart_aware_fusion,1162,37184,1,1.0,0,1.0,0.02733408473432064,11176512,64
