evidence_label,mode,corpus_seed,transition_method,source_chart,target_chart,fit_residual,heldout_overlap_residual,condition_number,inverse_consistency_residual,bootstrap_instability_mean,bootstrap_instability_ci_low,bootstrap_instability_ci_high,transformation_uncertainty
natural_measured,confirmatory,0,weight_based,0,1,0.9322513937950134,0.9249099493026733,26.321748733520508,1.0065708693218767e-06,0.0,0.0,0.0,0.0
natural_measured,confirmatory,0,weight_based,0,2,0.9202772974967957,0.9383054375648499,16.103519439697266,9.419474622518464e-07,0.0,0.0,0.0,0.0
natural_measured,confirmatory,0,weight_based,0,3,0.9473854899406433,0.9258849024772644,21.991302490234375,1.0009357538365293e-06,0.0,0.0,0.0,0.0
natural_measured,confirmatory,0,weight_based,0,4,0.4659060537815094,0.462819367647171,12.279117584228516,9.595764822734054e-07,0.0,0.0,0.0,0.0
natural_measured,confirmatory,0,weight_based,0,5,0.9018553495407104,0.9014732241630554,21.032861709594727,9.624768608773593e-07,0.0,0.0,0.0,0.0
natural_measured,confirmatory,0,weight_based,0,6,0.915973424911499,0.9220482110977173,13.980132102966309,1.0333893669667304e-06,0.0,0.0,0.0,0.0
natural_measured,confirmatory,0,weight_based,0,7,0.9454498887062073,0.9280893802642822,17.855260848999023,1.0265298442391213e-06,0.0,0.0,0.0,0.0
natural_measured,confirmatory,0,weight_based,1,0,0.8860166668891907,0.8892673254013062,26.32175636291504,1.0060614386020461e-06,0.0,0.0,0.0,0.0
natural_measured,confirmatory,0,weight_based,1,2,0.8352140188217163,0.8555973172187805,17.863435745239258,9.42870599374146e-07,0.0,0.0,0.0,0.0
natural_measured,confirmatory,0,weight_based,1,3,0.7904452681541443,0.7918528318405151,17.52634620666504,9.061457149073249e-07,0.0,0.0,0.0,0.0
natural_measured,confirmatory,0,weight_based,1,4,0.8589354753494263,0.862593412399292,15.937952041625977,1.0105778756042127e-06,0.0,0.0,0.0,0.0
natural_measured,confirmatory,0,weight_based,1,5,0.7374129891395569,0.7446082234382629,10.89552116394043,9.300321721639193e-07,0.0,0.0,0.0,0.0
natural_measured,confirmatory,0,weight_based,1,6,0.8597310185432434,0.8708612322807312,15.630576133728027,1.0275218755850801e-06,0.0,0.0,0.0,0.0
natural_measured,confirmatory,0,weight_based,1,7,0.5539081692695618,0.5633145570755005,8.982259750366211,9.224439168065146e-07,0.0,0.0,0.0,0.0
natural_measured,confirmatory,0,weight_based,2,0,0.8847189545631409,0.8939141631126404,16.10352325439453,9.361173169963877e-07,0.0,0.0,0.0,0.0
natural_measured,confirmatory,0,weight_based,2,1,0.8714653849601746,0.8713280558586121,17.863435745239258,9.368646942675696e-07,0.0,0.0,0.0,0.0
natural_measured,confirmatory,0,weight_based,2,3,0.8707565069198608,0.8597588539123535,13.615891456604004,9.268196095035819e-07,0.0,0.0,0.0,0.0
natural_measured,confirmatory,0,weight_based,2,4,0.8661396503448486,0.8751487731933594,10.070029258728027,9.214937222168373e-07,0.0,0.0,0.0,0.0
natural_measured,confirmatory,0,weight_based,2,5,0.8527922630310059,0.8552513122558594,12.1503324508667,9.009521022562694e-07,0.0,0.0,0.0,0.0
natural_measured,confirmatory,0,weight_based,2,6,0.5007194876670837,0.4980117380619049,7.9913153648376465,9.091936021832225e-07,0.0,0.0,0.0,0.0
natural_measured,confirmatory,0,weight_based,2,7,0.8567338585853577,0.8533269762992859,10.18562126159668,9.487731631452334e-07,0.0,0.0,0.0,0.0
natural_measured,confirmatory,0,weight_based,3,0,0.8950340747833252,0.882512629032135,21.991291046142578,1.0378961405876908e-06,0.0,0.0,0.0,0.0
natural_measured,confirmatory,0,weight_based,3,1,0.7846564054489136,0.798660933971405,17.526342391967773,9.196883183903992e-07,0.0,0.0,0.0,0.0
natural_measured,confirmatory,0,weight_based,3,2,0.8419224619865417,0.8475222587585449,13.61589527130127,9.506721312391164e-07,0.0,0.0,0.0,0.0
natural_measured,confirmatory,0,weight_based,3,4,0.881817102432251,0.871083676815033,14.675917625427246,9.755993914950523e-07,0.0,0.0,0.0,0.0
