evidence_label,mode,corpus_seed,transition_method,selected_transition_method,loop_name,loop_vertices,identity_distance,connection_synchronization_residual,group_element_classification,spectral_radius,mean_eigenvalue_modulus,mean_absolute_eigenphase,trace_over_dimension_real,trace_over_dimension_imag
natural_measured,confirmatory,0,weight_based,True,triangle_rotation,0-1-2-0,1.2570434364533867e-06,0.03157747264153191,unclassified_feature_space_operator,1.0000012782303362,1.0000000819565273,4.452661460556798e-07,1.000000081956387,0.0
natural_measured,confirmatory,0,weight_based,True,triangle_reflection,0-4-5-0,1.249060687769088e-06,0.03157747264153191,unclassified_feature_space_operator,1.0000012375156127,1.0000000689180006,4.22767411663137e-07,1.0000000689178707,1.3234889800848443e-23
natural_measured,confirmatory,0,weight_based,True,rotation_cycle,0-1-2-3-0,1.5538902289335965e-06,0.03157747264153191,unclassified_feature_space_operator,1.000001115804228,1.000000051222917,4.886772494284664e-07,1.0000000512227414,6.617444900424222e-24
natural_measured,confirmatory,0,weight_based,True,reflection_rotation_cycle,0-4-1-5-0,1.538020342195523e-06,0.03157747264153191,unclassified_feature_space_operator,1.00000171026813,1.0000001816080735,4.866866455724253e-07,1.0000001816079025,0.0
natural_measured,confirmatory,0,weight_based,True,rotation_reflection_commutator,commutator,1.1007763305315166e-06,0.03157747264153191,commutator_operator,1.0000017312866625,1.000000445172264,2.9935692179892026e-07,1.0000004451721907,-9.926167350636332e-24
natural_measured,confirmatory,0,activation_procrustes,False,triangle_rotation,0-1-2-0,0.674355685710907,0.32995059421019896,unclassified_feature_space_operator,1.0000002598713562,0.9999999588859982,0.49460032437408985,0.7726222053170209,0.0
natural_measured,confirmatory,0,activation_procrustes,False,triangle_reflection,0-4-5-0,0.40440475940704346,0.32995059421019896,unclassified_feature_space_operator,1.000000232485342,0.9999999585958474,0.27050764808074457,0.918228374794126,0.0
natural_measured,confirmatory,0,activation_procrustes,False,rotation_cycle,0-1-2-3-0,0.6831295490264893,0.32995059421019896,unclassified_feature_space_operator,1.000000418376163,0.9999999695420317,0.5153636553218706,0.7666669730097055,0.0
natural_measured,confirmatory,0,activation_procrustes,False,reflection_rotation_cycle,0-4-1-5-0,0.6315968036651611,0.32995059421019896,unclassified_feature_space_operator,1.0000003802655033,1.0000000960591076,0.4605468420236866,0.8005428044125441,0.0
natural_measured,confirmatory,0,activation_procrustes,False,rotation_reflection_commutator,commutator,0.707405686378479,0.32995059421019896,commutator_operator,1.0000009771220286,1.0000005064508324,0.48389773022928845,0.7497890950180592,0.0
natural_measured,confirmatory,0,low_rank_subspace,False,triangle_rotation,0-1-2-0,0.7435001134872437,0.3911129217594862,unclassified_feature_space_operator,1.311651845852126,0.8234321308773245,0.24354169146112387,0.8040725816972553,0.0
natural_measured,confirmatory,0,low_rank_subspace,False,triangle_reflection,0-4-5-0,0.7206777930259705,0.3911129217594862,unclassified_feature_space_operator,1.3395094564268426,0.8605022815459442,0.18946855689006897,0.8432239936664699,0.0
natural_measured,confirmatory,0,low_rank_subspace,False,rotation_cycle,0-1-2-3-0,0.7905434966087341,0.3911129217594862,unclassified_feature_space_operator,1.2361455431172685,0.782163054106727,0.3140095629208679,0.7604816579259934,0.0
natural_measured,confirmatory,0,low_rank_subspace,False,reflection_rotation_cycle,0-4-1-5-0,0.8268516659736633,0.3911129217594862,unclassified_feature_space_operator,1.343561106894098,0.7998349961745959,0.24006325747919263,0.7797798733226959,1.734723475976807e-18
natural_measured,confirmatory,0,low_rank_subspace,False,rotation_reflection_commutator,commutator,547398.3125,0.3911129217594862,commutator_operator,120773.98885455728,2231.8798549031785,0.545819215126323,2231.482464075093,6.938893903907228e-18
natural_measured,confirmatory,0,joint_weight_activation,False,triangle_rotation,0-1-2-0,0.5385477542877197,0.24940694589167833,unclassified_feature_space_operator,1.000000291058841,0.9999999472692473,0.34987293899041794,0.8549830699339507,0.0
natural_measured,confirmatory,0,joint_weight_activation,False,triangle_reflection,0-4-5-0,0.2953914701938629,0.24940694589167833,unclassified_feature_space_operator,1.0000004326176881,1.000000160759031,0.16538590750194446,0.9563720934092996,0.0
natural_measured,confirmatory,0,joint_weight_activation,False,rotation_cycle,0-1-2-3-0,0.5310143232345581,0.24940694589167833,unclassified_feature_space_operator,1.0000004240345497,1.0000000128658693,0.35527961414840165,0.8590118698775766,-6.938893903907228e-18
natural_measured,confirmatory,0,joint_weight_activation,False,reflection_rotation_cycle,0-4-1-5-0,0.4638028144836426,0.24940694589167833,unclassified_feature_space_operator,1.0000005530641076,1.0000001944904873,0.2891783453478391,0.8924436634406447,0.0
natural_measured,confirmatory,0,joint_weight_activation,False,rotation_reflection_commutator,commutator,0.50916588306427,0.24940694589167833,commutator_operator,1.0000007426281907,1.0000004003896485,0.27457817478924984,0.8703754786401989,0.0
natural_measured,confirmatory,1,weight_based,True,triangle_rotation,0-1-2-0,1.3387989383772947e-06,0.03315614679429148,unclassified_feature_space_operator,1.0000015754049068,1.000000220723556,3.7318884519786495e-07,1.000000220723451,0.0
natural_measured,confirmatory,1,weight_based,True,triangle_reflection,0-4-5-0,1.2168206922069658e-06,0.03315614679429148,unclassified_feature_space_operator,1.0000013030603054,1.0000000260771564,3.9533616998726006e-07,1.000000026077032,-3.308722450212111e-24
natural_measured,confirmatory,1,weight_based,True,rotation_cycle,0-1-2-3-0,1.4941324479877949e-06,0.03315614679429148,unclassified_feature_space_operator,1.0000017842229543,1.0000001620502845,4.5925348693043386e-07,1.0000001620501278,0.0
natural_measured,confirmatory,1,weight_based,True,reflection_rotation_cycle,0-4-1-5-0,1.4583824849978555e-06,0.03315614679429148,unclassified_feature_space_operator,1.000001323237338,1.0000000307338086,4.742903228546409e-07,1.000000030733645,-1.3234889800848443e-23
natural_measured,confirmatory,1,weight_based,True,rotation_reflection_commutator,commutator,1.106474314838124e-06,0.03315614679429148,commutator_operator,1.0000016509497778,1.000000447966229,2.9328186827256386e-07,1.000000447966159,1.6543612251060553e-24
natural_measured,confirmatory,1,activation_procrustes,False,triangle_rotation,0-1-2-0,0.6725204586982727,0.3299764365489994,unclassified_feature_space_operator,1.0000004577234292,1.0000001241289727,0.49440930937961886,0.7738582072779544,0.0
natural_measured,confirmatory,1,activation_procrustes,False,triangle_reflection,0-4-5-0,0.4091147482395172,0.3299764365489994,unclassified_feature_space_operator,1.000000272825262,1.0000000096961563,0.2764900205836964,0.9163125762715936,0.0
