seed,batch_size,component,cold_start_latency_ms,warm_start_latency_ms,latency_q1_ms,latency_q3_ms,warmups,timed_repetitions
20,1,transformation,0.05608401261270046,0.03166613169014454,0.03158301115036011,0.03176036989316344,10,100
20,1,equivariant_chart_model,2.9892921447753906,2.889812574721873,2.8520726482383907,2.9553647618740797,10,100
20,1,ordinary_chart_model,0.8277909364551306,0.7054375018924475,0.68559410283342,0.7300833822228014,10,100
20,1,canonical_branch_evaluation,25.78266616910696,23.857229040004313,22.43555209133774,29.0616043494083,10,100
20,1,specialized_branch_evaluation,2.6110420003533363,2.512271050363779,2.480583149008453,2.553062455262989,10,100
20,1,soft_routing,0.07145898416638374,0.009041978046298027,0.009040813893079758,0.009083887562155724,10,100
20,1,hard_routing,0.0664170365780592,0.00558304600417614,0.005540903657674789,0.005624955520033836,10,100
20,1,feature_retransport_pool,0.058666104450821877,0.01637497916817665,0.016292091459035873,0.01645786687731743,10,100
20,8,transformation,0.12466707266867161,0.05493813659995794,0.05147926276549697,0.055437732953578234,10,100
20,8,equivariant_chart_model,3.2232089433819056,2.434625057503581,2.389062545262277,2.475375367794186,10,100
20,8,ordinary_chart_model,0.8251660037785769,0.7711669895797968,0.7548016728833318,0.791134953033179,10,100
20,8,canonical_branch_evaluation,25.80725005827844,47.62747953645885,34.86231260467321,54.599333205260336,10,100
20,8,specialized_branch_evaluation,5.8761658146977425,5.8927914360538125,4.657906363718212,6.846301548648626,10,100
20,8,soft_routing,0.14470797032117844,0.016208039596676826,0.01612515188753605,0.016333069652318954,10,100
20,8,hard_routing,0.10558380745351315,0.0167088583111763,0.016583071555942297,0.016874924767762423,10,100
20,8,feature_retransport_pool,0.23566698655486107,0.09618699550628662,0.07945805555209517,0.09667756967246532,10,100
20,32,transformation,0.17095892690122128,0.1118748914450407,0.11162483133375645,0.11208304204046726,10,100
20,32,equivariant_chart_model,4.151167115196586,3.183583030477166,3.0314060859382153,3.489020571578294,10,100
