method,seeds,task_accuracy,complete_path_latency_ms_batch128,latency_q1_ms_batch128,latency_q3_ms_batch128,stored_bytes,parameters,chart_training_examples
single_ordinary_cnn,10,0.2245,2.014499972574413,1.860781223513186,2.1659477206412703,58024,14506,0
direct_d4_equivariant_task_cnn,10,0.6061,8.351145486813039,8.191707980586216,8.948755275923759,46920,11730,0
d4_test_time_augmentation,10,0.22945000000000002,34.10962491761893,32.775536412373185,35.949042008724064,58024,14506,0
generic_low_rank_context_adapter,10,0.31325000000000003,6.325395777821541,5.790036084363237,7.109161088010296,121608,30402,1000
generic_moe,10,0.26965000000000006,16.38337504118681,15.047265740577132,17.567078059073538,290816,72704,1000
d4_chart_soft_routing,10,0.5553,17.71586446557194,16.79764618165791,18.71289574773982,243700,60925,1000
hard_branch_selection,10,0.5478,17.8658957593143,16.780291683971882,18.841026059817523,243700,60925,1000
canonicalize_pool_retransport,10,0.34064999999999995,143.64716678392142,137.04437512205914,150.19121405202895,243700,60925,1000
uncertainty_weighted_retransport,10,0.35300000000000004,177.5324479676783,168.5958537273109,184.01090128463693,243700,60925,1000
abstaining_retransport,10,0.34525,177.1927605732344,169.46964571252465,184.72297402331606,243700,60925,1000
ensemble,10,0.22535,12.527187529485673,11.508760508149862,13.713500316953287,232096,58024,0
supplied_chart_oracle_diagnostic,10,0.73295,135.69156249286607,131.36544259032235,140.10595841682516,232096,58024,0
