seed,condition,example,synthetic_domain,chart,method,dice,iou,boundary_dice,hausdorff95,assd,pixel_nll,pixel_ece,foreground_recall,foreground_precision
0,seen_domain_seen_chart,cju0ue769mxii08019zqgdbxn.png,0,0,weight_average,0.09133271202289646,0.047851562500581146,0.0,93.34527452645696,55.25806047262957,0.7783800542487955,0.496928334236145,1.0,0.0478515625
0,seen_domain_seen_chart,cju13cgqmnhwn0988yrainhcp.png,1,0,weight_average,0.22096747923382323,0.12420654296928453,0.0,81.50055028876181,46.06880223140988,0.7646666380260068,0.420573353767395,1.0,0.12420654296875
0,seen_domain_seen_chart,cju16ach3m1da0993r1dq3sn2.png,2,0,weight_average,0.4205147980336352,0.2662353515629478,0.0,55.09762366317681,33.51939573397362,0.7391581491767425,0.278544545173645,1.0,0.2662353515625
0,seen_domain_seen_chart,cju171py4qiha0835u8sl59ds.png,3,0,weight_average,0.536227999642841,0.36633300781288675,0.23425692695214106,72.54636950777115,27.15912806674651,0.7211805291884343,0.17844688892364502,1.0,0.3663330078125
0,seen_domain_seen_chart,cju0ue769mxii08019zqgdbxn.png,0,0,greedy_soup,0.09133271202289646,0.047851562500581146,0.0,93.34527452645696,55.25806047262957,0.8609339490922536,0.5361097540408082,1.0,0.0478515625
0,seen_domain_seen_chart,cju13cgqmnhwn0988yrainhcp.png,1,0,greedy_soup,0.22096747923382323,0.12420654296928453,0.0,81.50055028876181,46.06880223140988,0.8367220771140933,0.45992726419717656,1.0,0.12420654296875
0,seen_domain_seen_chart,cju16ach3m1da0993r1dq3sn2.png,2,0,greedy_soup,0.4205147980336352,0.2662353515629478,0.0,55.09762366317681,33.51939573397362,0.7906649112885538,0.31773543130839244,1.0,0.2662353515625
0,seen_domain_seen_chart,cju171py4qiha0835u8sl59ds.png,3,0,greedy_soup,0.536227999642841,0.36633300781288675,0.23425692695214106,72.54636950777115,27.15912806674651,0.7609409974928809,0.21877343553569517,1.0,0.3663330078125
0,seen_domain_seen_chart,cju0ue769mxii08019zqgdbxn.png,0,0,generic_moe,0.09133271202289646,0.047851562500581146,0.0,93.34527452645696,55.25806047262957,0.7739060063965855,0.4946661424692138,1.0,0.0478515625
0,seen_domain_seen_chart,cju13cgqmnhwn0988yrainhcp.png,1,0,generic_moe,0.22096747923382323,0.12420654296928453,0.0,81.50055028876181,46.06880223140988,0.7637511193684914,0.41978371965160477,1.0,0.12420654296875
0,seen_domain_seen_chart,cju16ach3m1da0993r1dq3sn2.png,2,0,generic_moe,0.4205147980336352,0.2662353515629478,0.0,55.09762366317681,33.51939573397362,0.730395833035274,0.26964965144361486,1.0,0.2662353515625
0,seen_domain_seen_chart,cju171py4qiha0835u8sl59ds.png,3,0,generic_moe,0.536227999642841,0.36633300781288675,0.23425692695214106,72.54636950777115,27.15912806674651,0.7182955100933274,0.17164090723599656,1.0,0.3663330078125
0,seen_domain_seen_chart,cju0ue769mxii08019zqgdbxn.png,0,0,domain_router,0.09133271202289646,0.047851562500581146,0.0,93.34527452645696,55.25806047262957,0.77113695426109,0.4932975023657491,1.0,0.0478515625
0,seen_domain_seen_chart,cju13cgqmnhwn0988yrainhcp.png,1,0,domain_router,0.22096747923382323,0.12420654296928453,0.0,81.50055028876181,46.06880223140988,0.7585438666951614,0.4169431680893467,1.0,0.12420654296875
0,seen_domain_seen_chart,cju16ach3m1da0993r1dq3sn2.png,2,0,domain_router,2.2925263640479312e-12,2.2925263640479312e-12,0.0,nan,nan,0.6794859762210196,0.21854676415205176,0.0,0.0
0,seen_domain_seen_chart,cju171py4qiha0835u8sl59ds.png,3,0,domain_router,0.536227999642841,0.36633300781288675,0.23425692695214106,72.54636950777115,27.15912806674651,0.7202137655580726,0.17709791660308838,1.0,0.3663330078125
0,seen_domain_seen_chart,cju0ue769mxii08019zqgdbxn.png,0,0,chart_router,0.09133271202289646,0.047851562500581146,0.0,93.34527452645696,55.25806047262957,0.86743447305677,0.5391249712847639,1.0,0.0478515625
0,seen_domain_seen_chart,cju13cgqmnhwn0988yrainhcp.png,1,0,chart_router,0.22096747923382323,0.12420654296928453,0.0,81.50055028876181,46.06880223140988,0.8405978313116669,0.46276872083763015,1.0,0.12420654296875
0,seen_domain_seen_chart,cju16ach3m1da0993r1dq3sn2.png,2,0,chart_router,0.4205147980336352,0.2662353515629478,0.0,55.09762366317681,33.51939573397362,0.7906909109389776,0.32074259744695155,1.0,0.2662353515625
0,seen_domain_seen_chart,cju171py4qiha0835u8sl59ds.png,3,0,chart_router,0.536227999642841,0.36633300781288675,0.23425692695214106,72.54636950777115,27.15912806674651,0.755520151986073,0.22064771466466487,1.0,0.3663330078125
0,seen_domain_seen_chart,cju0ue769mxii08019zqgdbxn.png,0,0,joint_domain_chart_router,0.09133271202289646,0.047851562500581146,0.0,93.34527452645696,55.25806047262957,0.7739060063965855,0.4946661424692138,1.0,0.0478515625
0,seen_domain_seen_chart,cju13cgqmnhwn0988yrainhcp.png,1,0,joint_domain_chart_router,0.22096747923382323,0.12420654296928453,0.0,81.50055028876181,46.06880223140988,0.7637511193684914,0.41978371965160477,1.0,0.12420654296875
0,seen_domain_seen_chart,cju16ach3m1da0993r1dq3sn2.png,2,0,joint_domain_chart_router,0.4205147980336352,0.2662353515629478,0.0,55.09762366317681,33.51939573397362,0.7303825599108162,0.26964847885392373,1.0,0.2662353515625
0,seen_domain_seen_chart,cju171py4qiha0835u8sl59ds.png,3,0,joint_domain_chart_router,0.536227999642841,0.36633300781288675,0.23425692695214106,72.54636950777115,27.15912806674651,0.7182848934209034,0.1716368610104837,1.0,0.3663330078125
0,seen_domain_seen_chart,cju0ue769mxii08019zqgdbxn.png,0,0,direct_d4_equivariant_unet,8.064516128967222e-12,8.064516128967222e-12,0.0,94.22307098187838,54.87517343477387,0.6612974079442415,0.4340531962134264,0.0,0.0
0,seen_domain_seen_chart,cju13cgqmnhwn0988yrainhcp.png,1,0,direct_d4_equivariant_unet,3.995205753080323e-12,3.995205753080323e-12,0.0,82.17759068078931,44.67070502450475,0.6671698765331837,0.3577021269757097,0.0,0.0
0,seen_domain_seen_chart,cju16ach3m1da0993r1dq3sn2.png,2,0,direct_d4_equivariant_unet,2.0597322348052324e-12,2.0597322348052324e-12,0.0,55.17245689653489,33.309580546406195,0.6784040315978765,0.2155697625821631,0.0,0.0
0,seen_domain_seen_chart,cju171py4qiha0835u8sl59ds.png,3,0,direct_d4_equivariant_unet,0.01045349731128293,0.005254211097194786,0.22813688212927757,72.68921273421937,27.342645988589013,0.6854183107168829,0.11550503126090918,0.005664778407197601,0.06759443339960239
0,seen_domain_seen_chart,cju0ue769mxii08019zqgdbxn.png,0,0,d4_test_time_augmentation,0.09133271202289646,0.047851562500581146,0.0,93.34527452645696,55.25806047262957,0.8674293341898711,0.539122886100813,1.0,0.0478515625
0,seen_domain_seen_chart,cju13cgqmnhwn0988yrainhcp.png,1,0,d4_test_time_augmentation,0.22096747923382323,0.12420654296928453,0.0,81.50055028876181,46.06880223140988,0.8406000886439216,0.46276968799793394,1.0,0.12420654296875
0,seen_domain_seen_chart,cju16ach3m1da0993r1dq3sn2.png,2,0,d4_test_time_augmentation,0.4205147980336352,0.2662353515629478,0.0,55.09762366317681,33.51939573397362,0.7906868659413495,0.32074096513315453,1.0,0.2662353515625
0,seen_domain_seen_chart,cju171py4qiha0835u8sl59ds.png,3,0,d4_test_time_augmentation,0.536227999642841,0.36633300781288675,0.23425692695214106,72.54636950777115,27.15912806674651,0.7555115632796305,0.22064440643953276,1.0,0.3663330078125
0,seen_domain_seen_chart,cju0ue769mxii08019zqgdbxn.png,0,0,one_canonical_after_chart_inference,0.09133271202289646,0.047851562500581146,0.0,93.34527452645696,55.25806047262957,0.86743447305677,0.5391249712847639,1.0,0.0478515625
0,seen_domain_seen_chart,cju13cgqmnhwn0988yrainhcp.png,1,0,one_canonical_after_chart_inference,0.22096747923382323,0.12420654296928453,0.0,81.50055028876181,46.06880223140988,0.8405978313116669,0.46276872083763015,1.0,0.12420654296875
0,seen_domain_seen_chart,cju16ach3m1da0993r1dq3sn2.png,2,0,one_canonical_after_chart_inference,0.4205147980336352,0.2662353515629478,0.0,55.09762366317681,33.51939573397362,0.7906909109389776,0.32074259744695155,1.0,0.2662353515625
0,seen_domain_seen_chart,cju171py4qiha0835u8sl59ds.png,3,0,one_canonical_after_chart_inference,0.536227999642841,0.36633300781288675,0.23425692695214106,72.54636950777115,27.15912806674651,0.755520151986073,0.22064771466466487,1.0,0.3663330078125
0,seen_domain_seen_chart,cju0ue769mxii08019zqgdbxn.png,0,0,domain_specific_canonical_experts,0.09133271202289646,0.047851562500581146,0.0,93.34527452645696,55.25806047262957,0.77113695426109,0.4932975023657491,1.0,0.0478515625
0,seen_domain_seen_chart,cju13cgqmnhwn0988yrainhcp.png,1,0,domain_specific_canonical_experts,0.22096747923382323,0.12420654296928453,0.0,81.50055028876181,46.06880223140988,0.7585438666951614,0.4169431680893467,1.0,0.12420654296875
0,seen_domain_seen_chart,cju16ach3m1da0993r1dq3sn2.png,2,0,domain_specific_canonical_experts,2.2925263640479312e-12,2.2925263640479312e-12,0.0,nan,nan,0.6794813820835888,0.2185462642519269,0.0,0.0
0,seen_domain_seen_chart,cju171py4qiha0835u8sl59ds.png,3,0,domain_specific_canonical_experts,0.536227999642841,0.36633300781288675,0.23425692695214106,72.54636950777115,27.15912806674651,0.7202137655580726,0.17709791660308838,1.0,0.3663330078125
0,seen_domain_seen_chart,cju0ue769mxii08019zqgdbxn.png,0,0,chart_aware_multi_expert_pooling,0.09133271202289646,0.047851562500581146,0.0,93.34527452645696,55.25806047262957,0.7739060063965855,0.4946661424692138,1.0,0.0478515625
0,seen_domain_seen_chart,cju13cgqmnhwn0988yrainhcp.png,1,0,chart_aware_multi_expert_pooling,0.22096747923382323,0.12420654296928453,0.0,81.50055028876181,46.06880223140988,0.7637511193684914,0.41978371965160477,1.0,0.12420654296875
